,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8144,Iceland,ISL,2020-12-30,4875,0,0,,0,1.43,1.43,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8145,Iceland,ISL,2020-12-31,4938,4915,22,,63,1.4471050572482733,1.440364794729701,0.006447207626460512,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8146,Iceland,ISL,2021-01-01,5001,4955,45,,63,1.4655675154513192,1.4520869904141744,0.013187470145032866,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8147,Iceland,ISL,2021-01-02,5065,4996,68,,63,1.484323028546477,1.46410224099076,0.01992773266360522,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8148,Iceland,ISL,2021-01-03,5128,5036,91,,63,1.502785486749523,1.4758244366752338,0.02666799518217757,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8149,Iceland,ISL,2021-01-04,5191,5077,113,,63,1.521247944952569,1.4878396872518191,0.03311520280863808,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8150,Iceland,ISL,2021-01-05,5255,5117,137,,63,1.5400034580477269,1.499561882936293,0.04014852021932228,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8151,Iceland,ISL,2021-01-06,5318,5158,159,,63,1.5584659162507728,1.5115771335128783,0.046595727845782794,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8152,Iceland,ISL,2021-01-07,5381,5198,182,,63,1.576928374453819,1.523299329197352,0.05333599036435514,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8153,Iceland,ISL,2021-01-08,5445,5239,205,,63,1.595683887548977,1.5353145797739376,0.0600762528829275,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8154,Iceland,ISL,2021-01-09,5508,5279,228,,63,1.6141463457520229,1.5470367754584111,0.06681651540149985,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8155,Iceland,ISL,2021-01-10,5571,5320,250,,63,1.6326088039550688,1.5590520260349965,0.07326372302796037,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8156,Iceland,ISL,2021-01-11,5635,5360,274,,63,1.6513643170502266,1.5707742217194705,0.08029704043864457,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
8157,Iceland,ISL,2021-01-12,5698,5401,296,,63,1.6698267752532727,1.5827894722960558,0.08674424806510507,185.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
