,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8291,India,IND,2021-01-15,0,0,0,,0,0.0,0.0,0.0,0.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8292,India,IND,2021-01-16,191181,191181,0,191181.0,191181,0.01,0.01,0.0,139.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8293,India,IND,2021-01-17,224301,224301,0,33120.0,112150,0.02,0.02,0.0,81.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8294,India,IND,2021-01-18,454049,454049,0,229748.0,151350,0.03,0.03,0.0,110.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8295,India,IND,2021-01-19,674835,674835,0,220786.0,168709,0.05,0.05,0.0,122.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8296,India,IND,2021-01-20,806484,806484,0,131649.0,161297,0.06,0.06,0.0,117.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8297,India,IND,2021-01-21,1043534,1043534,0,237050.0,173922,0.08,0.08,0.0,126.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8298,India,IND,2021-01-22,1390592,1390592,0,347058.0,198656,0.1,0.1,0.0,144.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8299,India,IND,2021-01-23,1582201,1582201,0,191609.0,198717,0.11,0.11,0.0,144.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8300,India,IND,2021-01-24,1615504,1615504,0,33303.0,198743,0.12,0.12,0.0,144.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8301,India,IND,2021-01-25,2023809,2023809,0,408305.0,224251,0.15,0.15,0.0,163.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8302,India,IND,2021-01-26,2029480,2029480,0,5671.0,193521,0.15,0.15,0.0,140.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8303,India,IND,2021-01-27,2355979,2355979,0,326499.0,221356,0.17,0.17,0.0,160.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8304,India,IND,2021-01-28,2928053,2928053,0,572074.0,269217,0.21,0.21,0.0,195.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8305,India,IND,2021-01-29,3500027,3500027,0,571974.0,301348,0.25,0.25,0.0,218.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8306,India,IND,2021-01-30,3744334,3744334,0,244307.0,308876,0.27,0.27,0.0,224.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8307,India,IND,2021-01-31,3758843,3758843,0,14509.0,306191,0.27,0.27,0.0,222.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8308,India,IND,2021-02-01,3950156,3950156,0,191313.0,275192,0.29,0.29,0.0,199.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8309,India,IND,2021-02-02,4138918,4138918,0,188762.0,301348,0.3,0.3,0.0,218.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8310,India,IND,2021-02-03,4449552,4449552,0,310634.0,299082,0.32,0.32,0.0,217.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8311,India,IND,2021-02-04,4959445,4959445,0,509893.0,290199,0.36,0.36,0.0,210.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8312,India,IND,2021-02-05,5416849,5416849,0,457404.0,273832,0.39,0.39,0.0,198.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8313,India,IND,2021-02-06,5775322,5775322,0,358473.0,290141,0.42,0.42,0.0,210.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8314,India,IND,2021-02-07,5812362,5812362,0,37040.0,293360,0.42,0.42,0.0,213.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8315,India,IND,2021-02-08,6259008,6259008,0,446646.0,329836,0.45,0.45,0.0,239.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8316,India,IND,2021-02-09,6611561,6611561,0,352553.0,353235,0.48,0.48,0.0,256.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8317,India,IND,2021-02-10,7017114,7017114,0,405553.0,366795,0.51,0.51,0.0,266.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8318,India,IND,2021-02-11,7505010,7505010,0,487896.0,363652,0.54,0.54,0.0,264.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8319,India,IND,2021-02-12,7967647,7967647,0,462637.0,364400,0.58,0.58,0.0,264.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8320,India,IND,2021-02-13,8052454,8044786,7668,84807.0,325305,0.58,0.58,0.0,236.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8321,India,IND,2021-02-14,8284612,8231719,52892,,353179,0.5997333252994502,0.5959043355078867,0.0038289174003246643,256.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8322,India,IND,2021-02-15,8516771,8418653,98118,,322538,0.62,0.61,0.01,234.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8323,India,IND,2021-02-16,8857341,8641002,216339,340570.0,320826,0.64,0.63,0.02,232.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8324,India,IND,2021-02-17,9186757,8844641,342116,329416.0,309949,0.67,0.64,0.02,225.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8325,India,IND,2021-02-18,9846523,9381591,464932,659766.0,334502,0.71,0.68,0.03,242.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8326,India,IND,2021-02-19,10449942,9693000,756942,603419.0,354614,0.76,0.7,0.05,257.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8327,India,IND,2021-02-20,10838323,9964383,873940,388381.0,397981,0.79,0.72,0.06,288.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8328,India,IND,2021-02-21,11085173,10124531,960642,246850.0,400080,0.8,0.73,0.07,290.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8329,India,IND,2021-02-22,11424094,10308552,1115542,338921.0,415332,0.83,0.75,0.08,301.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
8330,India,IND,2021-02-23,11907392,10585757,1321635,483298.0,435722,0.86,0.77,0.1,316.0,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
