,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8422,Indonesia,IDN,2021-01-12,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8423,Indonesia,IDN,2021-01-13,13200,13200,0,,13200,0.004831051080145066,0.004831051080145066,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8424,Indonesia,IDN,2021-01-14,26400,26400,0,,13200,0.009662102160290132,0.009662102160290132,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8425,Indonesia,IDN,2021-01-15,39600,39600,0,,13200,0.014493153240435196,0.014493153240435196,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8426,Indonesia,IDN,2021-01-16,52800,52800,0,,13200,0.019324204320580265,0.019324204320580265,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8427,Indonesia,IDN,2021-01-17,66000,66000,0,,13200,0.02415525540072533,0.02415525540072533,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8428,Indonesia,IDN,2021-01-18,79200,79200,0,,13200,0.028986306480870392,0.028986306480870392,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8429,Indonesia,IDN,2021-01-19,92400,92400,0,,13200,0.03381735756101546,0.03381735756101546,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8430,Indonesia,IDN,2021-01-20,105600,105600,0,,13200,0.03864840864116053,0.03864840864116053,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8431,Indonesia,IDN,2021-01-21,118800,118800,0,,13200,0.04347945972130559,0.04347945972130559,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8432,Indonesia,IDN,2021-01-22,132000,132000,0,,13200,0.05,0.05,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8433,Indonesia,IDN,2021-01-23,140621,140621,0,,12546,0.05146569954099085,0.05146569954099085,0.0,46.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8434,Indonesia,IDN,2021-01-24,149242,149242,0,,11892,0.05,0.05,0.0,43.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8435,Indonesia,IDN,2021-01-25,161959,161959,0,12717.0,11823,0.06,0.06,0.0,43.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8436,Indonesia,IDN,2021-01-26,245685,245685,0,83726.0,21898,0.09,0.09,0.0,80.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8437,Indonesia,IDN,2021-01-27,308003,308003,0,62318.0,28915,0.11,0.11,0.0,106.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
8438,Indonesia,IDN,2021-01-28,373786,368318,5468,65783.0,36427,0.14,0.13,0.0,133.0,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
