,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8556,Iran,IRN,2021-02-08,0,0,0,,0,0.0,0.0,0.0,0.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8557,Iran,IRN,2021-02-09,3000,3000,0,3000.0,3000,0.0,0.0,0.0,36.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8558,Iran,IRN,2021-02-10,3875,3875,0,,1938,0.004581158022169259,0.004581158022169259,0.0,23.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8559,Iran,IRN,2021-02-11,4750,4750,0,,1583,0.005615613059433284,0.005615613059433284,0.0,19.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8560,Iran,IRN,2021-02-12,5625,5625,0,,1406,0.006650068096697311,0.006650068096697311,0.0,17.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8561,Iran,IRN,2021-02-13,6500,6500,0,,1300,0.007684523133961336,0.007684523133961336,0.0,15.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8562,Iran,IRN,2021-02-14,7375,7375,0,,1229,0.008718978171225363,0.008718978171225363,0.0,15.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8563,Iran,IRN,2021-02-15,8250,8250,0,,1179,0.009753433208489388,0.009753433208489388,0.0,14.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8564,Iran,IRN,2021-02-16,9125,9125,0,,875,0.010787888245753415,0.010787888245753415,0.0,10.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8565,Iran,IRN,2021-02-17,10000,10000,0,,875,0.01,0.01,0.0,10.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8566,Iran,IRN,2021-02-18,13806,13806,0,,1294,0.016321927136533878,0.016321927136533878,0.0,15.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8567,Iran,IRN,2021-02-19,17612,17612,0,,1713,0.020821510990050314,0.020821510990050314,0.0,20.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8568,Iran,IRN,2021-02-20,21419,21419,0,,2131,0.025322277077895052,0.025322277077895052,0.0,25.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8569,Iran,IRN,2021-02-21,25225,25225,0,,2550,0.029821860931411495,0.029821860931411495,0.0,30.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8570,Iran,IRN,2021-02-22,29032,29032,0,,2969,0.03432262701925623,0.03432262701925623,0.0,35.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8571,Iran,IRN,2021-02-23,32838,32838,0,,3388,0.03882221087277267,0.03882221087277267,0.0,40.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8572,Iran,IRN,2021-02-24,36645,36645,0,,3806,0.04332297696061741,0.04332297696061741,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8573,Iran,IRN,2021-02-25,40451,40451,0,,3806,0.04782256081413385,0.04782256081413385,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8574,Iran,IRN,2021-02-26,44257,44257,0,,3806,0.05232214466765029,0.05232214466765029,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8575,Iran,IRN,2021-02-27,48064,48064,0,,3806,0.056822910755495025,0.056822910755495025,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8576,Iran,IRN,2021-02-28,51870,51870,0,,3806,0.061322494609011464,0.061322494609011464,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8577,Iran,IRN,2021-03-01,55677,55677,0,,3806,0.0658232606968562,0.0658232606968562,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8578,Iran,IRN,2021-03-02,59483,59483,0,,3806,0.07032284455037265,0.07032284455037265,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8579,Iran,IRN,2021-03-03,63290,63290,0,,3806,0.07482361063821738,0.07482361063821738,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8580,Iran,IRN,2021-03-04,67096,67096,0,,3806,0.07932319449173382,0.07932319449173382,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8581,Iran,IRN,2021-03-05,70902,70902,0,,3806,0.08382277834525025,0.08382277834525025,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8582,Iran,IRN,2021-03-06,74709,74709,0,,3806,0.088323544433095,0.088323544433095,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8583,Iran,IRN,2021-03-07,78515,78515,0,,3806,0.09282312828661143,0.09282312828661143,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8584,Iran,IRN,2021-03-08,82322,82322,0,,3806,0.09732389437445617,0.09732389437445617,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8585,Iran,IRN,2021-03-09,86128,86128,0,,3806,0.10182347822797261,0.10182347822797261,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8586,Iran,IRN,2021-03-10,89935,89935,0,,3806,0.10632424431581734,0.10632424431581734,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8587,Iran,IRN,2021-03-11,93741,93741,0,,3806,0.11082382816933378,0.11082382816933378,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8588,Iran,IRN,2021-03-12,97547,97547,0,,3806,0.11532341202285022,0.11532341202285022,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8589,Iran,IRN,2021-03-13,101354,101354,0,,3806,0.11982417811069496,0.11982417811069496,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8590,Iran,IRN,2021-03-14,105160,105160,0,,3806,0.1243237619642114,0.1243237619642114,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8591,Iran,IRN,2021-03-15,108967,108967,0,,3806,0.12882452805205613,0.12882452805205613,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8592,Iran,IRN,2021-03-16,112773,112773,0,,3806,0.13332411190557258,0.13332411190557258,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
8593,Iran,IRN,2021-03-17,116580,116580,0,,3806,0.1378248779934173,0.1378248779934173,0.0,45.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
