,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8662,Iraq,IRQ,2021-03-01,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8663,Iraq,IRQ,2021-03-02,954,954,0,,955,0.0023884632717440287,0.0023884632717440287,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8664,Iraq,IRQ,2021-03-03,1909,1909,0,,955,0.00477943017375194,0.00477943017375194,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8665,Iraq,IRQ,2021-03-04,2863,2863,0,,955,0.007167893445495969,0.007167893445495969,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8666,Iraq,IRQ,2021-03-05,3818,3818,0,,955,0.00955886034750388,0.00955886034750388,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8667,Iraq,IRQ,2021-03-06,4772,4772,0,,955,0.01194732361924791,0.01194732361924791,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8668,Iraq,IRQ,2021-03-07,5727,5727,0,,955,0.014338290521255822,0.014338290521255822,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8669,Iraq,IRQ,2021-03-08,6681,6681,0,,955,0.01672675379299985,0.01672675379299985,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8670,Iraq,IRQ,2021-03-09,7636,7636,0,,955,0.01911772069500776,0.01911772069500776,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
8671,Iraq,IRQ,2021-03-10,8590,8590,0,,955,0.021506183966751788,0.021506183966751788,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,http://www.xinhuanet.com/english/2021-05/26/c_139969409.htm
