,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8748,Ireland,IRL,2020-12-31,0,0,0,,0,0.04,0.0,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8749,Ireland,IRL,2021-01-01,5470,5470,0,,550,0.04760425991277684,0.11080651137144228,0.0,111.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8750,Ireland,IRL,2021-01-02,10940,10940,0,,550,0.0587456824455544,0.22161302274288455,0.0,111.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8751,Ireland,IRL,2021-01-03,16411,16411,0,,550,0.06988710497833196,0.3324397912462046,0.0,111.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8752,Ireland,IRL,2021-01-04,21881,21881,0,,550,0.08,0.44324630261764686,0.0,111.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8753,Ireland,IRL,2021-01-05,27351,27351,0,,1194,0.15741817182220802,0.5540528139890891,0.0,242.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8754,Ireland,IRL,2021-01-06,32822,32822,0,,1624,0.23380781613330653,0.6648795824924092,0.0,329.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8755,Ireland,IRL,2021-01-07,38292,38292,0,,1931,0.31,0.7756860938638515,0.0,391.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8756,Ireland,IRL,2021-01-08,43762,43762,0,,3028,0.47689339866663505,0.8864926052352937,0.0,613.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
8757,Ireland,IRL,2021-01-09,49233,49233,0,,4124,0.6435893368888651,0.9973193737386137,0.0,835.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
