,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
8880,Isle of Man,IMN,2021-01-21,0,0,0,,0,4.18,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8881,Isle of Man,IMN,2021-01-22,3648,974,2673,90.0,90,4.29,1.1458823529411764,3.144705882352941,1058.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8882,Isle of Man,IMN,2021-01-23,3835,1948,1886,,138,4.511764705882353,2.2917647058823527,2.2188235294117646,1623.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8883,Isle of Man,IMN,2021-01-24,4022,2922,1099,,155,4.731764705882353,3.4376470588235293,1.2929411764705883,1823.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8884,Isle of Man,IMN,2021-01-25,4209,3897,312,,163,4.95,4.58,0.37,1917.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8885,Isle of Man,IMN,2021-01-26,4886,4247,639,677.0,266,5.75,4.99,0.75,3128.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8886,Isle of Man,IMN,2021-01-27,5543,4774,768,,331,6.521176470588236,5.616470588235294,0.9035294117647058,3893.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8887,Isle of Man,IMN,2021-01-28,6201,5301,899,,378,7.2952941176470585,6.236470588235294,1.0576470588235294,4445.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8888,Isle of Man,IMN,2021-01-29,6859,5829,1030,,459,8.07,6.86,1.21,5398.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8889,Isle of Man,IMN,2021-01-30,7219,6092,1126,,484,8.492941176470588,7.167058823529411,1.3247058823529412,5692.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
8890,Isle of Man,IMN,2021-01-31,7580,6356,1224,,508,8.917647058823528,7.477647058823529,1.44,5974.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
