,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9005,Israel,ISR,2020-12-19,60,0,0,,0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9006,Israel,ISR,2020-12-20,7419,7419,0,7359.0,7359,0.09,0.09,0.0,850.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9007,Israel,ISR,2020-12-21,32302,32302,0,24883.0,16121,0.37,0.37,0.0,1863.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9008,Israel,ISR,2020-12-22,76920,76920,0,44618.0,25620,0.89,0.89,0.0,2960.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9009,Israel,ISR,2020-12-23,139760,139760,0,62840.0,34925,1.61,1.61,0.0,4035.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9010,Israel,ISR,2020-12-24,213083,213083,0,73323.0,42605,2.46,2.46,0.0,4922.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9011,Israel,ISR,2020-12-25,251531,251531,0,38448.0,41912,2.91,2.91,0.0,4842.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9012,Israel,ISR,2020-12-26,284104,284104,0,32573.0,40578,3.28,3.28,0.0,4688.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9013,Israel,ISR,2020-12-27,388472,388472,0,104368.0,54436,4.49,4.49,0.0,6289.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9014,Israel,ISR,2020-12-28,523275,523275,0,134803.0,70139,6.05,6.05,0.0,8103.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9015,Israel,ISR,2020-12-29,679214,679214,0,155939.0,86042,7.85,7.85,0.0,9941.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
9016,Israel,ISR,2020-12-30,831926,831926,0,152712.0,98881,9.61,9.61,0.0,11424.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
