,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9313,Jamaica,JAM,2021-03-09,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9314,Jamaica,JAM,2021-03-10,2419,2419,0,,2420,0.08192041223678961,0.08192041223678961,0.0,817.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9315,Jamaica,JAM,2021-03-11,4839,4839,0,,2420,0.16387468987756304,0.16387468987756304,0.0,817.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9316,Jamaica,JAM,2021-03-12,7259,7259,0,,2420,0.24582896751833644,0.24582896751833644,0.0,817.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9317,Jamaica,JAM,2021-03-13,9679,9679,0,,2420,0.32778324515910984,0.32778324515910984,0.0,817.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9318,Jamaica,JAM,2021-03-14,12099,12099,0,,2420,0.41,0.41,0.0,817.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9319,Jamaica,JAM,2021-03-15,14097,14097,0,,2350,0.47740059995949696,0.47740059995949696,0.0,794.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9320,Jamaica,JAM,2021-03-16,16096,16096,0,,2299,0.54,0.54,0.0,776.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9321,Jamaica,JAM,2021-03-17,17974,17974,0,,2222,0.6086967712046534,0.6086967712046534,0.0,750.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9322,Jamaica,JAM,2021-03-18,19852,19852,0,,2145,0.6722959998862122,0.6722959998862122,0.0,724.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9323,Jamaica,JAM,2021-03-19,21730,21730,0,,2067,0.7358952285677711,0.7358952285677711,0.0,698.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9324,Jamaica,JAM,2021-03-20,23608,23608,0,,1990,0.79949445724933,0.79949445724933,0.0,672.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9325,Jamaica,JAM,2021-03-21,25487,25487,0,,1913,0.8631275513348727,0.8631275513348727,0.0,646.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9326,Jamaica,JAM,2021-03-22,27365,27365,0,,1895,0.9267267800164314,0.9267267800164314,0.0,640.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9327,Jamaica,JAM,2021-03-23,29243,29243,0,,1878,0.9903260086979903,0.9903260086979903,0.0,634.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9328,Jamaica,JAM,2021-03-24,31121,31121,0,,1878,1.0539252373795491,1.0539252373795491,0.0,634.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9329,Jamaica,JAM,2021-03-25,33000,33000,0,,1878,1.11,1.11,0.0,634.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9330,Jamaica,JAM,2021-03-26,34271,34271,0,,1792,1.1606012599284898,1.1606012599284898,0.0,605.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9331,Jamaica,JAM,2021-03-27,35543,35543,0,,1705,1.2036780537958716,1.2036780537958716,0.0,576.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9332,Jamaica,JAM,2021-03-28,36814,36814,0,,1618,1.2467209822592695,1.2467209822592695,0.0,546.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
9333,Jamaica,JAM,2021-03-29,38086,38086,0,,1532,1.289797776126651,1.289797776126651,0.0,517.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
