,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9387,Japan,JPN,2021-02-17,125,0,0,,0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9388,Japan,JPN,2021-02-18,611,611,0,486.0,486,0.0,0.0,0.0,4.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9389,Japan,JPN,2021-02-19,5039,5039,0,4428.0,2457,0.0,0.0,0.0,19.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9390,Japan,JPN,2021-02-20,7337,7337,0,,2404,0.0058047034158112305,0.0058047034158112305,0.0,19.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9391,Japan,JPN,2021-02-21,9635,9635,0,,2378,0.007622777349235547,0.007622777349235547,0.0,19.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9392,Japan,JPN,2021-02-22,11934,11934,0,,2362,0.01,0.01,0.0,19.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9393,Japan,JPN,2021-02-23,14911,14911,0,,2464,0.011796910540161,0.011796910540161,0.0,19.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9394,Japan,JPN,2021-02-24,17888,17888,0,,2538,0.01,0.01,0.0,20.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9395,Japan,JPN,2021-02-25,21896,21896,0,4008.0,3041,0.02,0.02,0.0,24.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9396,Japan,JPN,2021-02-26,28530,28530,0,6634.0,3356,0.02,0.02,0.0,27.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9397,Japan,JPN,2021-02-27,29615,29615,0,,3183,0.02343005201843391,0.02343005201843391,0.0,25.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9398,Japan,JPN,2021-02-28,30700,30700,0,,3009,0.024288455072291777,0.024288455072291777,0.0,24.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9399,Japan,JPN,2021-03-01,31785,31785,0,,2836,0.03,0.03,0.0,22.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9400,Japan,JPN,2021-03-02,34772,34772,0,2987.0,2837,0.03,0.03,0.0,22.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9401,Japan,JPN,2021-03-03,37303,37303,0,2531.0,2774,0.03,0.03,0.0,22.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9402,Japan,JPN,2021-03-04,39174,39174,0,1871.0,2468,0.03,0.03,0.0,20.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9403,Japan,JPN,2021-03-05,46469,46469,0,7295.0,2563,0.04,0.04,0.0,20.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9404,Japan,JPN,2021-03-06,54578,54578,0,,3566,0.04317965149627168,0.04317965149627168,0.0,28.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9405,Japan,JPN,2021-03-07,62687,62687,0,,4570,0.04959512648588778,0.04959512648588778,0.0,36.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9406,Japan,JPN,2021-03-08,70796,70796,0,,5573,0.06,0.06,0.0,44.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
9407,Japan,JPN,2021-03-09,107558,107558,0,36762.0,10398,0.09,0.09,0.0,82.0,Pfizer/BioNTech,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
