,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9485,Jersey,JEY,2021-03-14,40137,0,5621,,0,45.27,39.71,5.56,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9486,Jersey,JEY,2021-03-15,46687,40565,6121,,930,46.22475247524753,40.163366336633665,6.06039603960396,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9487,Jersey,JEY,2021-03-16,47617,40993,6623,,930,47.14554455445544,40.58712871287129,6.5574257425742575,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9488,Jersey,JEY,2021-03-17,48546,41422,7123,,930,48.065346534653465,41.01188118811881,7.052475247524752,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9489,Jersey,JEY,2021-03-18,49476,41850,7625,,930,48.986138613861385,41.43564356435643,7.5495049504950495,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9490,Jersey,JEY,2021-03-19,50405,42279,8125,,930,49.90594059405941,41.860396039603955,8.044554455445544,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9491,Jersey,JEY,2021-03-20,51335,42707,8627,,930,50.82673267326733,42.28415841584158,8.541584158415843,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9492,Jersey,JEY,2021-03-21,52265,43136,9129,,930,51.71,42.68,9.03,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9493,Jersey,JEY,2021-03-22,53246,43304,9941,,937,52.718811881188124,42.875247524752474,9.842574257425744,9271.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9494,Jersey,JEY,2021-03-23,54227,43473,10753,,944,53.69009900990099,43.04257425742574,10.646534653465347,9340.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9495,Jersey,JEY,2021-03-24,55208,43642,11565,,952,54.661386138613864,43.20990099009901,11.450495049504951,9419.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9496,Jersey,JEY,2021-03-25,56189,43811,12377,,959,55.63267326732674,43.377227722772275,12.254455445544554,9488.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9497,Jersey,JEY,2021-03-26,57170,43980,13189,,966,56.6039603960396,43.54455445544554,13.058415841584159,9557.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9498,Jersey,JEY,2021-03-27,58151,44149,14001,,974,57.57524752475247,43.71188118811881,13.862376237623764,9637.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9499,Jersey,JEY,2021-03-28,59132,44318,14814,,981,58.5,43.85,14.66,9706.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9500,Jersey,JEY,2021-03-29,60364,44412,15951,,1017,59.766336633663364,43.97227722772277,15.793069306930693,10062.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
