,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9552,Jordan,JOR,2021-01-12,0,0,0,,0,0.0,0.0,0.0,0.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9553,Jordan,JOR,2021-01-13,2727,2727,0,,2727,0.026677231907025884,0.026677231907025884,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9554,Jordan,JOR,2021-01-14,5454,5454,0,,2727,0.05335446381405177,0.05335446381405177,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9555,Jordan,JOR,2021-01-15,8181,8181,0,,2727,0.08003169572107766,0.08003169572107766,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9556,Jordan,JOR,2021-01-16,10909,10909,0,,2727,0.10671871025806577,0.10671871025806577,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9557,Jordan,JOR,2021-01-17,13636,13636,0,,2727,0.13339594216509168,0.13339594216509168,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9558,Jordan,JOR,2021-01-18,16363,16363,0,,2727,0.16007317407211755,0.16007317407211755,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9559,Jordan,JOR,2021-01-19,19090,19090,0,,2727,0.1867504059791434,0.1867504059791434,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9560,Jordan,JOR,2021-01-20,21818,21818,0,,2727,0.21343742051613154,0.21343742051613154,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
9561,Jordan,JOR,2021-01-21,24545,24545,0,,2727,0.2401146524231574,0.2401146524231574,0.0,267.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.facebook.com/ncscmjordan/photos/a.388629101483029/1446122289067033/
