,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9679,Kazakhstan,KAZ,2021-01-31,0,0,0,,0,0.0,0.0,0.0,0.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9680,Kazakhstan,KAZ,2021-02-01,1272,1272,0,,1273,0.006752333177955352,0.006752333177955352,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9681,Kazakhstan,KAZ,2021-02-02,2545,2545,0,,1273,0.013509974793943688,0.013509974793943688,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9682,Kazakhstan,KAZ,2021-02-03,3818,3818,0,,1273,0.02026761640993202,0.02026761640993202,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9683,Kazakhstan,KAZ,2021-02-04,5090,5090,0,,1273,0.027019949587887376,0.027019949587887376,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9684,Kazakhstan,KAZ,2021-02-05,6363,6363,0,,1273,0.03377759120387571,0.03377759120387571,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9685,Kazakhstan,KAZ,2021-02-06,7636,7636,0,,1273,0.04053523281986404,0.04053523281986404,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9686,Kazakhstan,KAZ,2021-02-07,8909,8909,0,,1273,0.04729287443585238,0.04729287443585238,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9687,Kazakhstan,KAZ,2021-02-08,10181,10181,0,,1273,0.05404520761380774,0.05404520761380774,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9688,Kazakhstan,KAZ,2021-02-09,11454,11454,0,,1273,0.06080284922979607,0.06080284922979607,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9689,Kazakhstan,KAZ,2021-02-10,12727,12727,0,,1273,0.06756049084578442,0.06756049084578442,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9690,Kazakhstan,KAZ,2021-02-11,14000,14000,0,,1273,0.07,0.07,0.0,68.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9691,Kazakhstan,KAZ,2021-02-12,14638,14473,164,,1182,0.07770491592681639,0.07682902365137408,0.0008705838374093378,63.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9692,Kazakhstan,KAZ,2021-02-13,15276,14947,328,,1091,0.08109169939186003,0.07934522327900836,0.0017411676748186756,58.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9693,Kazakhstan,KAZ,2021-02-14,15914,15420,493,,1001,0.08447848285690368,0.0818561144686097,0.0026170599502609976,53.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9694,Kazakhstan,KAZ,2021-02-15,16552,15894,657,,910,0.08786526632194733,0.084372314096244,0.003487643787670335,48.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9695,Kazakhstan,KAZ,2021-02-16,17190,16368,821,,819,0.09125204978699096,0.0868885137238783,0.004358227625079673,44.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9696,Kazakhstan,KAZ,2021-02-17,17828,16841,986,,729,0.09463883325203461,0.08939940491347963,0.005234119900521995,39.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9697,Kazakhstan,KAZ,2021-02-18,18466,17315,1150,,638,0.09802561671707825,0.09191560454111393,0.006104703737931332,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9698,Kazakhstan,KAZ,2021-02-19,19104,17788,1315,,638,0.10141240018212189,0.09442649573071525,0.006980596013373654,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9699,Kazakhstan,KAZ,2021-02-20,19742,18262,1479,,638,0.10479918364716552,0.09694269535834955,0.007851179850782992,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9700,Kazakhstan,KAZ,2021-02-21,20380,18736,1643,,638,0.10818596711220918,0.09945889498598386,0.00872176368819233,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9701,Kazakhstan,KAZ,2021-02-22,21018,19209,1808,,638,0.11157275057725281,0.10196978617558519,0.009597655963634651,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9702,Kazakhstan,KAZ,2021-02-23,21656,19683,1972,,638,0.11495953404229646,0.1044859858032195,0.01046823980104399,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9703,Kazakhstan,KAZ,2021-02-24,22294,20157,2137,,638,0.12,0.11,0.01,34.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9704,Kazakhstan,KAZ,2021-02-25,25747,22732,3014,,1040,0.13667635403523307,0.12067141336578699,0.015999632231413072,55.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9705,Kazakhstan,KAZ,2021-02-26,29200,25308,3891,,1442,0.155006390563126,0.13434594973875316,0.020655132386339838,77.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9706,Kazakhstan,KAZ,2021-02-27,32653,27884,4768,,1844,0.17333642709101896,0.14802048611171936,0.0253106325412666,98.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9707,Kazakhstan,KAZ,2021-02-28,36106,30459,5646,,2247,0.1916664636189119,0.16168971404665258,0.02997144113422635,120.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9708,Kazakhstan,KAZ,2021-03-01,39559,33035,6523,,2649,0.20999650014680485,0.17536425041961876,0.03462694128915311,141.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9709,Kazakhstan,KAZ,2021-03-02,43012,35611,7400,,3051,0.2283265366746978,0.18903878679258493,0.03928244144407988,162.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9710,Kazakhstan,KAZ,2021-03-03,46465,38186,8278,,3453,0.24665657320259074,0.20270801472751812,0.04394325003703963,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9711,Kazakhstan,KAZ,2021-03-04,49918,40762,9155,,3453,0.26498660973048366,0.21638255110048432,0.04859875019196639,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9712,Kazakhstan,KAZ,2021-03-05,53371,43338,10032,,3453,0.28331664625837666,0.2300570874734505,0.053254250346893156,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9713,Kazakhstan,KAZ,2021-03-06,56824,45913,10910,,3453,0.3016466827862696,0.24372631540838371,0.05791505893985291,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9714,Kazakhstan,KAZ,2021-03-07,60277,48489,11787,,3453,0.31997671931416255,0.2574008517813499,0.06257055909477965,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9715,Kazakhstan,KAZ,2021-03-08,63730,51065,12664,,3453,0.3383067558420555,0.2710753881543161,0.06722605924970643,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9716,Kazakhstan,KAZ,2021-03-09,67183,53640,13542,,3453,0.35663679236994844,0.2847446160892493,0.07188686784266618,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9717,Kazakhstan,KAZ,2021-03-10,70636,56216,14419,,3453,0.3749668288978414,0.29841915246221545,0.07654236799759294,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9718,Kazakhstan,KAZ,2021-03-11,74089,58792,15296,,3453,0.3932968654257344,0.3120936888351816,0.0811978681525197,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9719,Kazakhstan,KAZ,2021-03-12,77542,61367,16174,,3453,0.41162690195362733,0.3257629167701149,0.08585867674547945,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9720,Kazakhstan,KAZ,2021-03-13,80995,63943,17051,,3453,0.4299569384815203,0.33943745314308105,0.09051417690040622,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9721,Kazakhstan,KAZ,2021-03-14,84448,66519,17928,,3453,0.4482869750094132,0.3531119895160472,0.09516967705533298,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9722,Kazakhstan,KAZ,2021-03-15,87902,69095,18807,,3453,0.47,0.37,0.1,184.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9723,Kazakhstan,KAZ,2021-03-16,95266,76312,18953,,4012,0.5057136576502316,0.40509752317305725,0.10061082603914134,214.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9724,Kazakhstan,KAZ,2021-03-17,102630,83530,19099,,4571,0.544804995325124,0.4434138288951341,0.10138585799195697,243.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9725,Kazakhstan,KAZ,2021-03-18,109995,90748,19247,,5129,0.59,0.48,0.1,273.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9726,Kazakhstan,KAZ,2021-03-19,121963,99079,22883,,6346,0.6474330278167992,0.5259547318699987,0.12147298750876753,338.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9727,Kazakhstan,KAZ,2021-03-20,133932,107410,26521,,7562,0.7109697226335819,0.5701793291227865,0.1407850850727625,403.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
9728,Kazakhstan,KAZ,2021-03-21,145901,115742,30158,,8779,0.7745064174503646,0.6144092348136072,0.16009187419872448,468.0,"QazVac, Sinopharm/HayatVax, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
