,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9794,Kenya,KEN,2021-03-04,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9795,Kenya,KEN,2021-03-05,666,666,0,,667,0.001268762347096039,0.001268762347096039,0.0,12.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9796,Kenya,KEN,2021-03-06,1333,1333,0,,667,0.002539429742761292,0.002539429742761292,0.0,12.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9797,Kenya,KEN,2021-03-07,2000,2000,0,,667,0.0038100971384265442,0.0038100971384265442,0.0,12.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9798,Kenya,KEN,2021-03-08,2666,2666,0,,667,0.005078859485522584,0.005078859485522584,0.0,12.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9799,Kenya,KEN,2021-03-09,3333,3333,0,,667,0.006349526881187836,0.006349526881187836,0.0,12.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9800,Kenya,KEN,2021-03-10,4000,4000,0,,667,0.01,0.01,0.0,12.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9801,Kenya,KEN,2021-03-11,5286,5286,0,,755,0.010070086736861356,0.010070086736861356,0.0,14.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9802,Kenya,KEN,2021-03-12,6572,6572,0,,844,0.012519979196869624,0.012519979196869624,0.0,16.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9803,Kenya,KEN,2021-03-13,7858,7858,0,,932,0.014969871656877893,0.014969871656877893,0.0,17.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
9804,Kenya,KEN,2021-03-14,9144,9144,0,,1021,0.02,0.02,0.0,19.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://twitter.com/MOH_Kenya/status/1397212899668549633
