,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
9931,Kuwait,KWT,2020-12-28,0,0,0,,0,0.06,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9932,Kuwait,KWT,2020-12-29,3620,2795,824,,1121,0.08484575182945722,0.06550935811141793,0.019312955665047725,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9933,Kuwait,KWT,2020-12-30,5591,5591,0,,1121,0.11111980923299909,0.13104215427582744,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9934,Kuwait,KWT,2020-12-31,8387,8387,0,,1121,0.13739386663654096,0.19657495044023693,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9935,Kuwait,KWT,2021-01-01,11183,11183,0,,1121,0.16364448598709128,0.2621077466046465,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9936,Kuwait,KWT,2021-01-02,13979,13979,0,,1121,0.18991854339063313,0.32764054276905596,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9937,Kuwait,KWT,2021-01-03,16775,16775,0,,1121,0.216192600794175,0.39317333893346545,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9938,Kuwait,KWT,2021-01-04,19571,19571,0,,1121,0.24244322014472527,0.45870613509787495,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9939,Kuwait,KWT,2021-01-05,22367,22367,0,,1121,0.26871727754826713,0.5242389312622844,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9940,Kuwait,KWT,2021-01-06,25163,25163,0,,1121,0.294991334951809,0.589771727426694,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9941,Kuwait,KWT,2021-01-07,27959,27959,0,,1121,0.32124195430235936,0.6553045235911035,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9942,Kuwait,KWT,2021-01-08,30755,30755,0,,1121,0.3475160117059012,0.720837319755513,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9943,Kuwait,KWT,2021-01-09,33551,33551,0,,1121,0.37379006910944307,0.7863701159199226,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9944,Kuwait,KWT,2021-01-10,36346,36346,0,,1121,0.4000406884599934,0.8518794740313405,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9945,Kuwait,KWT,2021-01-11,39142,39142,0,,1121,0.4263147458635352,0.9174122701957499,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9946,Kuwait,KWT,2021-01-12,41938,41938,0,,1121,0.4525888032670771,0.9829450663601593,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9947,Kuwait,KWT,2021-01-13,44734,44734,0,,1121,0.47886286067061895,1.0484778625245688,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9948,Kuwait,KWT,2021-01-14,47530,47530,0,,1121,0.5051134800211693,1.1140106586889784,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9949,Kuwait,KWT,2021-01-15,50326,50326,0,,1121,0.5313875374247111,1.179543454853388,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9950,Kuwait,KWT,2021-01-16,53122,53122,0,,1121,0.557661594828253,1.2450762510177975,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9951,Kuwait,KWT,2021-01-17,55918,55918,0,,1121,0.5839122141788033,1.310609047182207,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9952,Kuwait,KWT,2021-01-18,58714,58714,0,,1121,0.6101862715823452,1.3761418433466166,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9953,Kuwait,KWT,2021-01-19,61510,61510,0,,1121,0.636460328985887,1.441674639511026,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
9954,Kuwait,KWT,2021-01-20,64306,64306,0,,1121,0.6627109483364373,1.5072074356754355,0.0,262.0,Pfizer/BioNTech,Ministry of Health,https://www.aljarida.com/articles/1621187972024941600/
