,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10071,Kyrgyzstan,KGZ,2021-03-28,0,0,0,,0,0.0,0.0,0.0,0.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10072,Kyrgyzstan,KGZ,2021-03-29,71,71,0,,72,0.0009886606196841214,0.0009886606196841214,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10073,Kyrgyzstan,KGZ,2021-03-30,143,143,0,,72,0.001991246036828583,0.001991246036828583,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10074,Kyrgyzstan,KGZ,2021-03-31,214,214,0,,72,0.0029799066565127045,0.0029799066565127045,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10075,Kyrgyzstan,KGZ,2021-04-01,286,286,0,,72,0.003982492073657166,0.003982492073657166,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10076,Kyrgyzstan,KGZ,2021-04-02,357,357,0,,72,0.004971152693341287,0.004971152693341287,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10077,Kyrgyzstan,KGZ,2021-04-03,429,429,0,,72,0.005973738110485748,0.005973738110485748,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10078,Kyrgyzstan,KGZ,2021-04-04,500,500,0,,72,0.00696239873016987,0.00696239873016987,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10079,Kyrgyzstan,KGZ,2021-04-05,572,572,0,,72,0.007964984147314332,0.007964984147314332,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10080,Kyrgyzstan,KGZ,2021-04-06,644,644,0,,72,0.01,0.01,0.0,11.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10081,Kyrgyzstan,KGZ,2021-04-07,849,849,0,205.0,91,0.01,0.01,0.0,14.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10082,Kyrgyzstan,KGZ,2021-04-08,1099,1099,0,,116,0.015303352408913375,0.015303352408913375,0.0,18.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10083,Kyrgyzstan,KGZ,2021-04-09,1349,1349,0,,142,0.01878455177399831,0.01878455177399831,0.0,22.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10084,Kyrgyzstan,KGZ,2021-04-10,1599,1599,0,,167,0.022265751139083245,0.022265751139083245,0.0,26.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10085,Kyrgyzstan,KGZ,2021-04-11,1849,1849,0,,193,0.025746950504168177,0.025746950504168177,0.0,30.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10086,Kyrgyzstan,KGZ,2021-04-12,2100,2100,0,,218,0.03,0.03,0.0,33.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10087,Kyrgyzstan,KGZ,2021-04-13,3709,3656,52,,438,0.05164707378040009,0.05090905951500209,0.0007240894679376665,67.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10088,Kyrgyzstan,KGZ,2021-04-14,5319,5212,106,,639,0.07406599769154708,0.07257604436329072,0.0014760285307960125,98.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10089,Kyrgyzstan,KGZ,2021-04-15,6929,6768,160,,833,0.09648492160269406,0.09424302921157937,0.0022279675936543587,128.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10090,Kyrgyzstan,KGZ,2021-04-16,8539,8325,214,,1027,0.11890384551384103,0.11592393885732834,0.0029799066565127045,157.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10091,Kyrgyzstan,KGZ,2021-04-17,10149,9881,267,,1221,0.14132276942498803,0.13759092370561696,0.0037179209219107105,187.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10092,Kyrgyzstan,KGZ,2021-04-18,11759,11437,321,,1416,0.163741693336135,0.15925790855390562,0.004469859984769057,217.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10093,Kyrgyzstan,KGZ,2021-04-19,13369,12993,375,,1610,0.186160617247282,0.18092489340219423,0.005221799047627402,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10094,Kyrgyzstan,KGZ,2021-04-20,14979,14550,429,,1610,0.20857954115842897,0.20260580304794323,0.005973738110485748,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10095,Kyrgyzstan,KGZ,2021-04-21,16588,16106,481,,1610,0.2309845402721156,0.22427278789623187,0.006697827578423415,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10096,Kyrgyzstan,KGZ,2021-04-22,18198,17662,535,,1610,0.2534034641832626,0.2459397727445205,0.00744976664128176,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10097,Kyrgyzstan,KGZ,2021-04-23,19808,19218,589,,1610,0.27582238809440957,0.2676067575928091,0.008201705704140107,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10098,Kyrgyzstan,KGZ,2021-04-24,21418,20775,643,,1610,0.29824131200555654,0.28928766723855814,0.008953644766998453,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10099,Kyrgyzstan,KGZ,2021-04-25,23028,22331,696,,1610,0.3206602359167035,0.3109546520868467,0.009691659032396459,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10100,Kyrgyzstan,KGZ,2021-04-26,24638,23887,750,,1610,0.34307915982785053,0.33262163693513536,0.010443598095254804,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10101,Kyrgyzstan,KGZ,2021-04-27,26248,25443,804,,1610,0.3654980837389975,0.354288621783424,0.011195537158113151,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10102,Kyrgyzstan,KGZ,2021-04-28,27858,27000,858,,1610,0.43,0.41,0.01,247.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10103,Kyrgyzstan,KGZ,2021-04-29,29032,27778,1253,,1548,0.4042647198685833,0.3868030238533173,0.017447771217805694,237.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10104,Kyrgyzstan,KGZ,2021-04-30,30207,28556,1650,,1485,0.4206263568844825,0.39763651627746155,0.02297591580956057,228.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10105,Kyrgyzstan,KGZ,2021-05-01,31381,29334,2046,,1423,0.43697406910292136,0.40847000870160594,0.028490135603855108,218.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
10106,Kyrgyzstan,KGZ,2021-05-02,32556,30112,2443,,1361,0.45333570611882057,0.4193035011257502,0.034018280195609985,209.0,"Sinopharm/Beijing, Sputnik V",Ministry of Health,"https://akipress.com/news:658330:Kyrgyzstan_vaccinates_over_54,100_against_COVID-19/"
