,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10123,Laos,LAO,2021-03-17,40732,0,0,,0,0.56,0.56,0.0,0.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10124,Laos,LAO,2021-03-18,44129,43047,1081,,3397,0.606589778902431,0.5917167896941457,0.014859243377224229,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10125,Laos,LAO,2021-03-19,47526,45363,2162,,3397,0.6532843670175381,0.6235521344320284,0.029718486754448457,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10126,Laos,LAO,2021-03-20,50923,47678,3244,,3397,0.6999789551326452,0.65537373333885,0.044591475962733954,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10127,Laos,LAO,2021-03-21,54320,49994,4325,,3397,0.7466735432477523,0.6872090780767328,0.05945071933995818,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10128,Laos,LAO,2021-03-22,57717,52309,5407,,3397,0.7933681313628593,0.7190306769835544,0.07432370854824367,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10129,Laos,LAO,2021-03-23,61114,54625,6488,,3397,0.8400627194779664,0.7508660217214371,0.08918295192546791,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10130,Laos,LAO,2021-03-24,64511,56941,7570,,3397,0.8867573075930734,0.7827013664593199,0.10405594113375341,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10131,Laos,LAO,2021-03-25,67908,59256,8651,,3397,0.9334518957081804,0.8145229653661415,0.11891518451097763,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10132,Laos,LAO,2021-03-26,71305,61572,9732,,3397,0.9801464838232875,0.8463583101040244,0.13377442788820185,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10133,Laos,LAO,2021-03-27,74702,63887,10814,,3397,1.0268410719383945,0.8781799090108459,0.14864741709648735,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10134,Laos,LAO,2021-03-28,78099,66203,11895,,3397,1.0735356600535015,0.9100152537487287,0.16350666047371157,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10135,Laos,LAO,2021-03-29,81496,68518,12977,,3397,1.1202302481686086,0.9418368526555502,0.17837964968199707,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10136,Laos,LAO,2021-03-30,84893,70834,14058,,3397,1.1669248362837157,0.9736721973934331,0.19323889305922132,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10137,Laos,LAO,2021-03-31,88290,73150,15140,,3397,1.2136194243988228,1.0055075421313158,0.20811188226750682,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10138,Laos,LAO,2021-04-01,91687,75465,16221,,3397,1.2603140125139296,1.0373291410381373,0.222971125644731,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10139,Laos,LAO,2021-04-02,95084,77781,17302,,3397,1.3070086006290367,1.06916448577602,0.23783036902195526,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10140,Laos,LAO,2021-04-03,98481,80096,18384,,3397,1.3537031887441437,1.1009860846828419,0.25270335823024076,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10141,Laos,LAO,2021-04-04,101878,82412,19465,,3397,1.4003977768592508,1.1328214294207246,0.267562601607465,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10142,Laos,LAO,2021-04-05,105275,84727,20547,,3397,1.447092364974358,1.1646430283275462,0.2824355908157505,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10143,Laos,LAO,2021-04-06,108672,87043,21628,,3397,1.493786953089465,1.196478373065429,0.2972948341929747,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10144,Laos,LAO,2021-04-07,112069,89359,22710,,3397,1.540481541204572,1.2283137178033117,0.3121678234012602,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10145,Laos,LAO,2021-04-08,115466,91674,23791,,3397,1.5871761293196789,1.2601353167101332,0.3270270667784844,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10146,Laos,LAO,2021-04-09,118863,93990,24872,,3397,1.633870717434786,1.291970661448016,0.34188631015570864,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10147,Laos,LAO,2021-04-10,122260,96305,25954,,3397,1.6805653055498933,1.3237922603548378,0.35675929936399414,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10148,Laos,LAO,2021-04-11,125657,98621,27035,,3397,1.727259893665,1.3556276050927205,0.37161854274121836,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10149,Laos,LAO,2021-04-12,129054,100936,28117,,3397,1.7739544817801072,1.387449203999542,0.38649153194950386,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10150,Laos,LAO,2021-04-13,132451,103252,29198,,3397,1.8206490698952142,1.4192845487374248,0.40135077532672814,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10151,Laos,LAO,2021-04-14,135849,105568,30281,,3397,1.87,1.45,0.42,467.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10152,Laos,LAO,2021-04-15,136084,105675,30408,,2945,1.870587674140779,1.4525906973988625,0.4179832309108551,405.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10153,Laos,LAO,2021-04-16,136319,105782,30536,,2494,1.8738179444401755,1.4540615013224176,0.41974269728669666,343.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10154,Laos,LAO,2021-04-17,136555,105890,30664,,2042,1.8770619605706336,1.455546051077034,0.4215021636625382,281.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10155,Laos,LAO,2021-04-18,136790,105997,30792,,1590,1.88029223087003,1.4570168550005889,0.42326163003837974,219.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10156,Laos,LAO,2021-04-19,137026,106105,30921,,1139,1.88,1.46,0.42,157.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10157,Laos,LAO,2021-04-20,144100,107303,36797,,1664,1.9807742559278554,1.474968910366597,0.505805345561258,229.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10158,Laos,LAO,2021-04-21,151175,108501,42674,,2189,2.08,1.49,0.59,301.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10159,Laos,LAO,2021-04-22,156818,109706,47112,5643.0,2962,2.16,1.51,0.65,407.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10160,Laos,LAO,2021-04-23,168171,116008,52163,,4550,2.311650155403493,1.594626369754883,0.7170237856486101,625.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10161,Laos,LAO,2021-04-24,179525,122310,57215,,6139,2.47,1.68,0.79,844.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10162,Laos,LAO,2021-04-25,183678,125363,58315,4153.0,6698,2.52,1.72,0.8,921.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10163,Laos,LAO,2021-04-26,184387,126072,58315,709.0,6766,2.53,1.73,0.8,930.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
10164,Laos,LAO,2021-04-27,206107,146009,60097,,8858,2.833112002543529,2.0070150474238044,0.8260832092886629,1218.0,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4272237492800912
