,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10191,Latvia,LVA,2020-12-28,595,0,0,,0,0.03,0.03,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10192,Latvia,LVA,2020-12-29,1468,1468,0,873.0,873,0.08,0.08,0.0,463.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10193,Latvia,LVA,2020-12-30,2261,2261,0,793.0,833,0.12,0.12,0.0,442.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10194,Latvia,LVA,2020-12-31,2400,2400,0,,602,0.1271815612172547,0.1271815612172547,0.0,319.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10195,Latvia,LVA,2021-01-01,2540,2540,0,,486,0.13460048562159457,0.13460048562159457,0.0,258.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10196,Latvia,LVA,2021-01-02,2680,2680,0,,417,0.14201941002593446,0.14201941002593446,0.0,221.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10197,Latvia,LVA,2021-01-03,2820,2820,0,,371,0.1494383344302743,0.1494383344302743,0.0,197.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10198,Latvia,LVA,2021-01-04,2960,2960,0,,338,0.16,0.16,0.0,179.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10199,Latvia,LVA,2021-01-05,3849,3849,0,889.0,340,0.2,0.2,0.0,180.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10200,Latvia,LVA,2021-01-06,4625,4625,0,776.0,338,0.25,0.25,0.0,179.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10201,Latvia,LVA,2021-01-07,5434,5434,0,809.0,433,0.29,0.29,0.0,230.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10202,Latvia,LVA,2021-01-08,6341,6341,0,907.0,543,0.34,0.34,0.0,288.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10203,Latvia,LVA,2021-01-09,6646,6646,0,305.0,567,0.35,0.35,0.0,301.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10204,Latvia,LVA,2021-01-10,6982,6982,0,336.0,595,0.37,0.37,0.0,315.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10205,Latvia,LVA,2021-01-11,8349,8349,0,1367.0,770,0.44,0.44,0.0,408.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10206,Latvia,LVA,2021-01-12,9976,9976,0,1627.0,875,0.53,0.53,0.0,464.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10207,Latvia,LVA,2021-01-13,11488,11488,0,1512.0,980,0.61,0.61,0.0,520.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10208,Latvia,LVA,2021-01-14,13312,13312,0,1824.0,1125,0.71,0.71,0.0,596.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10209,Latvia,LVA,2021-01-15,15186,15186,0,1874.0,1264,0.81,0.81,0.0,670.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10210,Latvia,LVA,2021-01-16,15854,15854,0,668.0,1315,0.84,0.84,0.0,697.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10211,Latvia,LVA,2021-01-17,15971,15971,0,117.0,1284,0.85,0.85,0.0,681.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10212,Latvia,LVA,2021-01-18,16819,16244,575,848.0,1210,0.89,0.86,0.03,642.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10213,Latvia,LVA,2021-01-19,17696,16316,1380,877.0,1103,0.94,0.87,0.07,585.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10214,Latvia,LVA,2021-01-20,18470,16335,2135,774.0,997,0.98,0.87,0.11,529.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10215,Latvia,LVA,2021-01-21,18749,16601,2148,279.0,777,0.99,0.88,0.11,412.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
10216,Latvia,LVA,2021-01-22,18965,16800,2165,216.0,540,1.01,0.89,0.11,286.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
