,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10340,Lebanon,LBN,2021-02-13,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10341,Lebanon,LBN,2021-02-14,3013,3013,0,48.0,48,0.0,0.04417845809703308,0.0,7.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10342,Lebanon,LBN,2021-02-15,6027,6027,0,1232.0,640,0.02,0.08837157880876813,0.0,94.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10343,Lebanon,LBN,2021-02-16,9040,9040,0,1986.0,1089,0.05,0.13255003690580122,0.0,160.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10344,Lebanon,LBN,2021-02-17,12054,12054,0,2666.0,1483,0.09,0.17674315761753626,0.0,217.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10345,Lebanon,LBN,2021-02-18,15068,15068,0,3673.0,1921,0.14,0.22093627832927132,0.0,281.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10346,Lebanon,LBN,2021-02-19,18081,18081,0,3724.0,2222,0.2,0.2651147364263044,0.0,326.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10347,Lebanon,LBN,2021-02-20,21095,21095,0,0.0,1904,0.2,0.30930785713803943,0.0,279.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10348,Lebanon,LBN,2021-02-21,24109,24109,0,0.0,1897,0.2,0.35350097784977447,0.0,278.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10349,Lebanon,LBN,2021-02-22,27122,27122,0,4702.0,2393,0.26,0.39767943594680755,0.0,351.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10350,Lebanon,LBN,2021-02-23,30136,30136,0,3544.0,2616,0.32,0.44187255665854264,0.0,383.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10351,Lebanon,LBN,2021-02-24,33150,33150,0,3818.0,2780,0.37,0.48606567737027767,0.0,407.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10352,Lebanon,LBN,2021-02-25,36163,36163,0,4427.0,2888,0.44,0.5302441354673108,0.0,423.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10353,Lebanon,LBN,2021-02-26,39177,39177,0,5171.0,3095,0.51,0.5744372561790458,0.0,453.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10354,Lebanon,LBN,2021-02-27,42190,42190,0,0.0,3095,0.51,0.6186157142760789,0.0,453.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10355,Lebanon,LBN,2021-02-28,45204,45204,0,5602.0,3895,0.59,0.662808834987814,0.0,571.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10356,Lebanon,LBN,2021-03-01,48218,48218,0,5266.0,3975,0.67,0.7070019556995489,0.0,582.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10357,Lebanon,LBN,2021-03-02,51231,51231,0,1766.0,3721,0.7,0.7511804137965821,0.0,545.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10358,Lebanon,LBN,2021-03-03,54585,54245,339,6960.0,4170,0.8,0.795373534508317,0.004970626383967545,611.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10359,Lebanon,LBN,2021-03-04,57474,57259,214,2889.0,3951,0.84,0.8395666552200521,0.0031377995462214003,579.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
10360,Lebanon,LBN,2021-03-05,60538,60272,265,3064.0,3650,0.89,0.8837451133170853,0.0038855928960218273,535.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
