,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10442,Lesotho,LSO,2021-03-09,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10443,Lesotho,LSO,2021-03-10,410,410,0,,410,0.022375845438574758,0.022375845438574758,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10444,Lesotho,LSO,2021-03-11,820,820,0,,410,0.044751690877149516,0.044751690877149516,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10445,Lesotho,LSO,2021-03-12,1230,1230,0,,410,0.06712753631572427,0.06712753631572427,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10446,Lesotho,LSO,2021-03-13,1641,1641,0,,410,0.08955795698707604,0.08955795698707604,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10447,Lesotho,LSO,2021-03-14,2051,2051,0,,410,0.11193380242565079,0.11193380242565079,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10448,Lesotho,LSO,2021-03-15,2461,2461,0,,410,0.13430964786422556,0.13430964786422556,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10449,Lesotho,LSO,2021-03-16,2871,2871,0,,410,0.1566854933028003,0.1566854933028003,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10450,Lesotho,LSO,2021-03-17,3282,3282,0,,410,0.17911591397415208,0.17911591397415208,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10451,Lesotho,LSO,2021-03-18,3692,3692,0,,410,0.20149175941272685,0.20149175941272685,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10452,Lesotho,LSO,2021-03-19,4102,4102,0,,410,0.22386760485130158,0.22386760485130158,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10453,Lesotho,LSO,2021-03-20,4512,4512,0,,410,0.24624345028987632,0.24624345028987632,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10454,Lesotho,LSO,2021-03-21,4923,4923,0,,410,0.2686738709612281,0.2686738709612281,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10455,Lesotho,LSO,2021-03-22,5333,5333,0,,410,0.29104971639980287,0.29104971639980287,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10456,Lesotho,LSO,2021-03-23,5743,5743,0,,410,0.3134255618383776,0.3134255618383776,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10457,Lesotho,LSO,2021-03-24,6153,6153,0,,410,0.3358014072769524,0.3358014072769524,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10458,Lesotho,LSO,2021-03-25,6564,6564,0,,410,0.35823182794830416,0.35823182794830416,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10459,Lesotho,LSO,2021-03-26,6974,6974,0,,410,0.38060767338687895,0.38060767338687895,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10460,Lesotho,LSO,2021-03-27,7384,7384,0,,410,0.4029835188254537,0.4029835188254537,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10461,Lesotho,LSO,2021-03-28,7794,7794,0,,410,0.4253593642640285,0.4253593642640285,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10462,Lesotho,LSO,2021-03-29,8205,8205,0,,410,0.44778978493538024,0.44778978493538024,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10463,Lesotho,LSO,2021-03-30,8615,8615,0,,410,0.4701656303739549,0.4701656303739549,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10464,Lesotho,LSO,2021-03-31,9025,9025,0,,410,0.4925414758125297,0.4925414758125297,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10465,Lesotho,LSO,2021-04-01,9435,9435,0,,410,0.5149173212511045,0.5149173212511045,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10466,Lesotho,LSO,2021-04-02,9846,9846,0,,410,0.5373477419224562,0.5373477419224562,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10467,Lesotho,LSO,2021-04-03,10256,10256,0,,410,0.559723587361031,0.559723587361031,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10468,Lesotho,LSO,2021-04-04,10666,10666,0,,410,0.5820994327996057,0.5820994327996057,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10469,Lesotho,LSO,2021-04-05,11076,11076,0,,410,0.6044752782381805,0.6044752782381805,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10470,Lesotho,LSO,2021-04-06,11487,11487,0,,410,0.6269056989095323,0.6269056989095323,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10471,Lesotho,LSO,2021-04-07,11897,11897,0,,410,0.649281544348107,0.649281544348107,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10472,Lesotho,LSO,2021-04-08,12307,12307,0,,410,0.6716573897866818,0.6716573897866818,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10473,Lesotho,LSO,2021-04-09,12717,12717,0,,410,0.6940332352252565,0.6940332352252565,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10474,Lesotho,LSO,2021-04-10,13128,13128,0,,410,0.7164636558966083,0.7164636558966083,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10475,Lesotho,LSO,2021-04-11,13538,13538,0,,410,0.7388395013351831,0.7388395013351831,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10476,Lesotho,LSO,2021-04-12,13948,13948,0,,410,0.7612153467737579,0.7612153467737579,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10477,Lesotho,LSO,2021-04-13,14358,14358,0,,410,0.7835911922123326,0.7835911922123326,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10478,Lesotho,LSO,2021-04-14,14769,14769,0,,410,0.8060216128836845,0.8060216128836845,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10479,Lesotho,LSO,2021-04-15,15179,15179,0,,410,0.8283974583222591,0.8283974583222591,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10480,Lesotho,LSO,2021-04-16,15589,15589,0,,410,0.8507733037608338,0.8507733037608338,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10481,Lesotho,LSO,2021-04-17,16000,16000,0,,410,0.75,0.75,0.0,191.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10482,Lesotho,LSO,2021-04-18,16665,16665,0,,447,0.9094962542288982,0.9094962542288982,0.0,209.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10483,Lesotho,LSO,2021-04-19,17331,17331,0,,483,0.945843359258388,0.945843359258388,0.0,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10484,Lesotho,LSO,2021-04-20,17997,17997,0,,520,0.9821904642878777,0.9821904642878777,0.0,243.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10485,Lesotho,LSO,2021-04-21,18662,18662,0,,556,1.0184829940845905,1.0184829940845905,0.0,260.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10486,Lesotho,LSO,2021-04-22,19328,19328,0,,593,1.0548300991140802,1.0548300991140802,0.0,277.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10487,Lesotho,LSO,2021-04-23,19994,19994,0,,629,1.0911772041435701,1.0911772041435701,0.0,294.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10488,Lesotho,LSO,2021-04-24,20659,20659,0,,666,1.1274697339402828,1.1274697339402828,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10489,Lesotho,LSO,2021-04-25,21325,21325,0,,666,1.1638168389697725,1.1638168389697725,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10490,Lesotho,LSO,2021-04-26,21991,21991,0,,666,1.2001639439992622,1.2001639439992622,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10491,Lesotho,LSO,2021-04-27,22657,22657,0,,666,1.2365110490287519,1.2365110490287519,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10492,Lesotho,LSO,2021-04-28,23322,23322,0,,666,1.2728035788254646,1.2728035788254646,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10493,Lesotho,LSO,2021-04-29,23988,23988,0,,666,1.3091506838549543,1.3091506838549543,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10494,Lesotho,LSO,2021-04-30,24654,24654,0,,666,1.3454977888844442,1.3454977888844442,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
10495,Lesotho,LSO,2021-05-01,25319,25319,0,,666,1.3817903186811566,1.3817903186811566,0.0,311.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
