,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
10706,Lithuania,LTU,2020-12-27,2454,0,0,,0,0.09,0.09,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10707,Lithuania,LTU,2020-12-28,5211,5211,0,2757.0,2757,0.19,0.19,0.0,1013.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10708,Lithuania,LTU,2020-12-29,8185,8185,0,2974.0,2866,0.3,0.3,0.0,1053.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10709,Lithuania,LTU,2020-12-30,9717,9717,0,1532.0,2421,0.36,0.36,0.0,889.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10710,Lithuania,LTU,2020-12-31,9742,9742,0,25.0,1822,0.36,0.36,0.0,669.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10711,Lithuania,LTU,2021-01-01,9742,9742,0,0.0,1458,0.36,0.36,0.0,536.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10712,Lithuania,LTU,2021-01-02,9742,9742,0,0.0,1215,0.36,0.36,0.0,446.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10713,Lithuania,LTU,2021-01-03,9742,9742,0,0.0,1041,0.36,0.36,0.0,382.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10714,Lithuania,LTU,2021-01-04,9744,9744,0,2.0,648,0.36,0.36,0.0,238.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10715,Lithuania,LTU,2021-01-05,10367,10367,0,623.0,312,0.38,0.38,0.0,115.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10716,Lithuania,LTU,2021-01-06,13868,13868,0,3501.0,593,0.51,0.51,0.0,218.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10717,Lithuania,LTU,2021-01-07,18039,18039,0,4171.0,1185,0.66,0.66,0.0,435.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10718,Lithuania,LTU,2021-01-08,23220,23220,0,5181.0,1925,0.85,0.85,0.0,707.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10719,Lithuania,LTU,2021-01-09,23524,23524,0,304.0,1969,0.86,0.86,0.0,723.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10720,Lithuania,LTU,2021-01-10,23527,23527,0,3.0,1969,0.86,0.86,0.0,723.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10721,Lithuania,LTU,2021-01-11,25733,25733,0,2206.0,2284,0.95,0.95,0.0,839.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10722,Lithuania,LTU,2021-01-12,27822,27822,0,2089.0,2494,1.02,1.02,0.0,916.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10723,Lithuania,LTU,2021-01-13,34078,34078,0,6256.0,2887,1.25,1.25,0.0,1061.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10724,Lithuania,LTU,2021-01-14,42724,42724,0,8646.0,3526,1.57,1.57,0.0,1295.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10725,Lithuania,LTU,2021-01-15,50040,50040,0,7316.0,3831,1.84,1.84,0.0,1407.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10726,Lithuania,LTU,2021-01-16,51145,51145,0,1105.0,3946,1.88,1.88,0.0,1450.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10727,Lithuania,LTU,2021-01-17,52278,51187,1091,1133.0,4107,1.92,1.88,0.04,1509.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
10728,Lithuania,LTU,2021-01-18,56804,54038,2766,4526.0,4439,2.09,1.99,0.1,1631.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
