,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11003,Macao,MAC,2021-02-08,0,0,0,,0,0.0,0.0,0.0,0.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11004,Macao,MAC,2021-02-09,708,708,0,595.0,595,0.09,0.10903496357030984,0.0,916.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11005,Macao,MAC,2021-02-10,1417,1417,0,,385,0.11858322309200366,0.21822393132645343,0.0,593.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11006,Macao,MAC,2021-02-11,2126,2126,0,,315,0.14568795979874732,0.3274128990825971,0.0,485.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11007,Macao,MAC,2021-02-12,2835,2835,0,,280,0.17263869231965726,0.43660186683874064,0.0,431.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11008,Macao,MAC,2021-02-13,3544,3544,0,,260,0.1997434290264009,0.5457908345948842,0.0,400.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11009,Macao,MAC,2021-02-14,4253,4253,0,,246,0.22684816573314465,0.6549798023510278,0.0,379.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11010,Macao,MAC,2021-02-15,4962,4962,0,,236,0.25379889825405455,0.7641687701071714,0.0,363.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11011,Macao,MAC,2021-02-16,5671,5671,0,,176,0.28090363496079823,0.8733577378633152,0.0,271.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11012,Macao,MAC,2021-02-17,6380,6380,0,,176,0.31,0.9825467056194588,0.0,271.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11013,Macao,MAC,2021-02-18,7089,7089,0,,199,0.36036979485102405,1.0917356733756025,0.0,306.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11014,Macao,MAC,2021-02-19,7798,7798,0,,223,0.4127312180345062,1.200924641131746,0.0,343.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11015,Macao,MAC,2021-02-20,8506,8506,0,,246,0.46509264121798827,1.3099596047020556,0.0,379.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
11016,Macao,MAC,2021-02-21,9215,9215,0,,270,0.5174540644014705,1.4191485724581994,0.0,416.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/421287/
