,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11110,Madagascar,MDG,2021-05-12,609,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11111,Madagascar,MDG,2021-05-13,1155,1155,0,,547,0.0036573317627389143,0.0036573317627389143,0.0,20.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11112,Madagascar,MDG,2021-05-14,1702,1702,0,,547,0.00538941875340401,0.00538941875340401,0.0,20.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11113,Madagascar,MDG,2021-05-15,2249,2249,0,,547,0.007121505744069107,0.007121505744069107,0.0,20.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11114,Madagascar,MDG,2021-05-16,2796,2796,0,,547,0.008853592734734201,0.008853592734734201,0.0,20.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11115,Madagascar,MDG,2021-05-17,3343,3343,0,,547,0.010585679725399299,0.010585679725399299,0.0,20.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11116,Madagascar,MDG,2021-05-18,3890,3890,0,,547,0.01,0.01,0.0,20.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11117,Madagascar,MDG,2021-05-19,7106,7106,0,,928,0.022501298273612746,0.022501298273612746,0.0,34.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11118,Madagascar,MDG,2021-05-20,10322,10322,0,,1310,0.032684829831161104,0.032684829831161104,0.0,47.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11119,Madagascar,MDG,2021-05-21,13539,13539,0,,1691,0.05,0.05,0.0,61.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11120,Madagascar,MDG,2021-05-22,14778,14778,0,,1790,0.046794847437017895,0.046794847437017895,0.0,65.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11121,Madagascar,MDG,2021-05-23,16018,16018,0,,1889,0.05072133348532634,0.05072133348532634,0.0,68.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
11122,Madagascar,MDG,2021-05-24,17258,17258,0,,1988,0.06,0.06,0.0,72.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
