,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11123,Malawi,MWI,2021-03-17,5417,0,0,,0,0.03,0.03,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11124,Malawi,MWI,2021-03-18,9091,9091,0,3674.0,3674,0.05,0.05,0.0,192.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11125,Malawi,MWI,2021-03-19,15326,15326,0,6235.0,4954,0.08,0.08,0.0,259.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11126,Malawi,MWI,2021-03-20,19938,19938,0,,4840,0.10435902267445511,0.10435902267445511,0.0,253.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11127,Malawi,MWI,2021-03-21,24550,24550,0,,4783,0.13,0.13,0.0,250.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11128,Malawi,MWI,2021-03-22,25589,25589,0,1039.0,4034,0.13,0.13,0.0,211.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11129,Malawi,MWI,2021-03-23,38804,38804,0,13215.0,5564,0.2,0.2,0.0,291.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11130,Malawi,MWI,2021-03-24,54637,54637,0,15833.0,7031,0.29,0.29,0.0,368.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11131,Malawi,MWI,2021-03-25,72372,72372,0,,9040,0.378807863827649,0.378807863827649,0.0,473.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11132,Malawi,MWI,2021-03-26,90107,90107,0,,10683,0.47,0.47,0.0,558.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11133,Malawi,MWI,2021-03-27,109526,109526,0,19419.0,12798,0.57,0.57,0.0,669.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11134,Malawi,MWI,2021-03-28,111592,111592,0,2066.0,12435,0.58,0.58,0.0,650.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11135,Malawi,MWI,2021-03-29,117344,117344,0,,13108,0.6141992755898917,0.6141992755898917,0.0,685.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11136,Malawi,MWI,2021-03-30,123097,123097,0,,12042,0.64,0.64,0.0,629.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11137,Malawi,MWI,2021-03-31,134289,134289,0,11192.0,11379,0.7,0.7,0.0,595.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11138,Malawi,MWI,2021-04-01,144979,144979,0,10690.0,10372,0.76,0.76,0.0,542.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11139,Malawi,MWI,2021-04-02,154801,154801,0,9822.0,9242,0.81,0.81,0.0,483.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11140,Malawi,MWI,2021-04-03,157187,157187,0,,6809,0.8227445930950736,0.8227445930950736,0.0,356.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11141,Malawi,MWI,2021-04-04,159574,159574,0,,6855,0.83,0.83,0.0,358.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11142,Malawi,MWI,2021-04-05,160445,160445,0,871.0,6157,0.84,0.84,0.0,322.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11143,Malawi,MWI,2021-04-06,164733,164733,0,4288.0,5948,0.86,0.86,0.0,311.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11144,Malawi,MWI,2021-04-07,174364,174364,0,,5725,0.9126520528442518,0.9126520528442518,0.0,299.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11145,Malawi,MWI,2021-04-08,183995,183995,0,,5574,0.9630624123275339,0.9630624123275339,0.0,291.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11146,Malawi,MWI,2021-04-09,193627,193627,0,,5547,1.01,1.01,0.0,290.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11147,Malawi,MWI,2021-04-10,204258,204258,0,10631.0,6724,1.07,1.07,0.0,351.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11148,Malawi,MWI,2021-04-11,209353,209353,0,5095.0,7111,1.09,1.09,0.0,372.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11149,Malawi,MWI,2021-04-12,212615,212615,0,3262.0,7453,1.11,1.11,0.0,390.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11150,Malawi,MWI,2021-04-13,229220,229220,0,16605.0,9212,1.2,1.2,0.0,482.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11151,Malawi,MWI,2021-04-14,240744,240744,0,11524.0,9483,1.26,1.26,0.0,496.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11152,Malawi,MWI,2021-04-15,246056,246056,0,,8866,1.287900676255679,1.287900676255679,0.0,463.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11153,Malawi,MWI,2021-04-16,251368,251368,0,,8249,1.31,1.31,0.0,431.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11154,Malawi,MWI,2021-04-17,254561,254561,0,,7186,1.3324173523438645,1.3324173523438645,0.0,376.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11155,Malawi,MWI,2021-04-18,257754,257754,0,,6914,1.35,1.35,0.0,361.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11156,Malawi,MWI,2021-04-19,258107,258107,0,353.0,6499,1.35,1.35,0.0,340.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11157,Malawi,MWI,2021-04-20,260614,260614,0,2507.0,4485,1.36,1.36,0.0,234.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11158,Malawi,MWI,2021-04-21,263931,263931,0,3317.0,3312,1.38,1.38,0.0,173.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11159,Malawi,MWI,2021-04-22,267293,267293,0,3362.0,3034,1.4,1.4,0.0,159.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11160,Malawi,MWI,2021-04-23,269830,269830,0,,2637,1.412338002219291,1.412338002219291,0.0,138.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11161,Malawi,MWI,2021-04-24,272367,272367,0,,2544,1.4256171094780479,1.4256171094780479,0.0,133.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11162,Malawi,MWI,2021-04-25,274904,274904,0,,2450,1.4388962167368047,1.4388962167368047,0.0,128.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11163,Malawi,MWI,2021-04-26,277442,277442,0,,2762,1.45,1.45,0.0,144.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11164,Malawi,MWI,2021-04-27,281049,281049,0,3607.0,2919,1.47,1.47,0.0,153.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11165,Malawi,MWI,2021-04-28,285824,285824,0,4775.0,3128,1.49,1.49,0.0,164.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11166,Malawi,MWI,2021-04-29,290344,290344,0,4520.0,3293,1.52,1.52,0.0,172.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11167,Malawi,MWI,2021-04-30,296127,296127,0,5783.0,3757,1.55,1.55,0.0,196.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11168,Malawi,MWI,2021-05-01,298731,298731,0,,3766,1.5636109540857985,1.5636109540857985,0.0,197.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11169,Malawi,MWI,2021-05-02,301335,301335,0,,3776,1.577240751209095,1.577240751209095,0.0,197.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11170,Malawi,MWI,2021-05-03,303939,303939,0,,3785,1.590870548332391,1.590870548332391,0.0,198.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11171,Malawi,MWI,2021-05-04,306543,306543,0,,3642,1.6045003454556874,1.6045003454556874,0.0,190.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11172,Malawi,MWI,2021-05-05,309147,309147,0,,3332,1.6181301425789836,1.6181301425789836,0.0,174.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11173,Malawi,MWI,2021-05-06,311751,311751,0,,3058,1.63,1.63,0.0,160.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11174,Malawi,MWI,2021-05-07,314944,314944,0,,2688,1.6484726671272745,1.6484726671272745,0.0,141.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11175,Malawi,MWI,2021-05-08,318138,318138,0,,2772,1.66,1.66,0.0,145.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11176,Malawi,MWI,2021-05-09,319323,319323,0,1185.0,2570,1.67,1.67,0.0,134.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11177,Malawi,MWI,2021-05-10,320300,320300,0,977.0,2337,1.67,1.67,0.0,122.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11178,Malawi,MWI,2021-05-11,323649,323649,0,,2444,1.6940361786319955,1.6940361786319955,0.0,128.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11179,Malawi,MWI,2021-05-12,326998,326998,0,,2550,1.7115654376818876,1.7115654376818876,0.0,133.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11180,Malawi,MWI,2021-05-13,330348,330348,0,,2657,1.73,1.73,0.0,139.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11181,Malawi,MWI,2021-05-14,331651,331651,0,,2387,1.7359200636475933,1.7359200636475933,0.0,125.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11182,Malawi,MWI,2021-05-15,332955,332955,0,,2117,1.74,1.74,0.0,111.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11183,Malawi,MWI,2021-05-16,333659,333659,0,,2048,1.7464302912296128,1.7464302912296128,0.0,107.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11184,Malawi,MWI,2021-05-17,334363,334363,0,,2009,1.75,1.75,0.0,105.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11185,Malawi,MWI,2021-05-18,335232,335232,0,869.0,1655,1.75,1.75,0.0,87.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11186,Malawi,MWI,2021-05-19,336826,336826,0,1594.0,1404,1.76,1.76,0.0,73.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11187,Malawi,MWI,2021-05-20,339481,339481,0,2655.0,1305,1.77,1.77,0.0,68.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11188,Malawi,MWI,2021-05-21,341698,341698,0,2217.0,1435,1.79,1.79,0.0,75.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11189,Malawi,MWI,2021-05-22,344394,344394,0,2696.0,1634,1.8,1.8,0.0,85.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11190,Malawi,MWI,2021-05-23,344647,344647,0,253.0,1570,1.8,1.8,0.0,82.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11191,Malawi,MWI,2021-05-24,345226,345226,0,,1552,1.8069740175449618,1.8069740175449618,0.0,81.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
11192,Malawi,MWI,2021-05-25,345806,345806,0,,1511,1.81,1.81,0.0,79.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1397231307994841092
