,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11193,Malaysia,MYS,2021-02-23,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11194,Malaysia,MYS,2021-02-24,895,895,0,,895,0.0027555333881361206,0.0027555333881361206,0.0,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11195,Malaysia,MYS,2021-02-25,1790,1790,0,,895,0.005511066776272241,0.005511066776272241,0.0,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11196,Malaysia,MYS,2021-02-26,2685,2685,0,,895,0.008266600164408361,0.008266600164408361,0.0,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11197,Malaysia,MYS,2021-02-27,3580,3580,0,,895,0.01,0.01,0.0,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11198,Malaysia,MYS,2021-02-28,14416,14416,0,,2883,0.04438409980264839,0.04438409980264839,0.0,89.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11199,Malaysia,MYS,2021-03-01,25252,25252,0,,4209,0.08,0.08,0.0,130.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11200,Malaysia,MYS,2021-03-02,53287,53287,0,28035.0,7612,0.16,0.16,0.0,235.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11201,Malaysia,MYS,2021-03-03,80336,80336,0,27049.0,11349,0.25,0.25,0.0,351.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11202,Malaysia,MYS,2021-03-04,99616,99616,0,19280.0,13975,0.31,0.31,0.0,432.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11203,Malaysia,MYS,2021-03-05,112914,112914,0,13298.0,15747,0.35,0.35,0.0,487.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11204,Malaysia,MYS,2021-03-06,127608,127608,0,14694.0,17718,0.39,0.39,0.0,547.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11205,Malaysia,MYS,2021-03-07,139720,139720,0,12112.0,17901,0.43,0.43,0.0,553.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
11206,Malaysia,MYS,2021-03-08,166363,166363,0,26643.0,20159,0.51,0.51,0.0,623.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
