,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11285,Maldives,MDV,2021-02-02,880,0,0,,0,0.16,0.16,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11286,Maldives,MDV,2021-02-03,1578,1578,0,698.0,698,0.29,0.29,0.0,1291.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11287,Maldives,MDV,2021-02-04,3204,3204,0,1626.0,1162,0.59,0.59,0.0,2150.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11288,Maldives,MDV,2021-02-05,4269,4269,0,1065.0,1130,0.79,0.79,0.0,2090.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11289,Maldives,MDV,2021-02-06,6854,6854,0,2585.0,1494,1.27,1.27,0.0,2764.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11290,Maldives,MDV,2021-02-07,9752,9752,0,2898.0,1774,1.8,1.8,0.0,3282.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11291,Maldives,MDV,2021-02-08,12934,12934,0,3182.0,2009,2.39,2.39,0.0,3717.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11292,Maldives,MDV,2021-02-09,16251,16251,0,3317.0,2196,3.01,3.01,0.0,4063.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11293,Maldives,MDV,2021-02-10,20161,20161,0,3910.0,2655,3.73,3.73,0.0,4912.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11294,Maldives,MDV,2021-02-11,25327,25327,0,5166.0,3160,4.69,4.69,0.0,5846.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11295,Maldives,MDV,2021-02-12,27367,27367,0,2040.0,3300,5.06,5.06,0.0,6105.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11296,Maldives,MDV,2021-02-13,33106,33106,0,5739.0,3750,6.12,6.12,0.0,6937.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11297,Maldives,MDV,2021-02-14,38591,38591,0,5485.0,4120,7.14,7.14,0.0,7622.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11298,Maldives,MDV,2021-02-15,43817,43817,0,5226.0,4412,8.11,8.11,0.0,8162.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11299,Maldives,MDV,2021-02-16,50047,50047,0,6230.0,4828,9.26,9.26,0.0,8932.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11300,Maldives,MDV,2021-02-17,56218,56218,0,6171.0,5151,10.4,10.4,0.0,9529.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11301,Maldives,MDV,2021-02-18,64048,64048,0,7830.0,5532,11.85,11.85,0.0,10234.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11302,Maldives,MDV,2021-02-19,64048,64048,0,0.0,5240,11.85,11.85,0.0,9694.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11303,Maldives,MDV,2021-02-20,70009,70009,0,5961.0,5272,12.95,12.95,0.0,9753.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11304,Maldives,MDV,2021-02-21,75013,75013,0,5004.0,5203,13.88,13.88,0.0,9626.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11305,Maldives,MDV,2021-02-22,80159,80159,0,5146.0,5192,14.83,14.83,0.0,9605.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11306,Maldives,MDV,2021-02-23,85110,85110,0,4951.0,5009,15.75,15.75,0.0,9267.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11307,Maldives,MDV,2021-02-24,90865,90865,0,5755.0,4950,16.81,16.81,0.0,9157.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11308,Maldives,MDV,2021-02-25,98311,98311,0,7446.0,4895,18.19,18.19,0.0,9056.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11309,Maldives,MDV,2021-02-26,99419,99419,0,1108.0,5053,18.39,18.39,0.0,9348.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11310,Maldives,MDV,2021-02-27,105492,105492,0,6073.0,5069,19.52,19.52,0.0,9378.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11311,Maldives,MDV,2021-02-28,111415,111415,0,5923.0,5200,20.61,20.61,0.0,9620.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11312,Maldives,MDV,2021-03-01,117115,117115,0,5700.0,5279,21.67,21.67,0.0,9766.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11313,Maldives,MDV,2021-03-02,123665,123665,0,6550.0,5508,22.88,22.88,0.0,10190.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11314,Maldives,MDV,2021-03-03,129424,129424,0,5759.0,5508,23.94,23.94,0.0,10190.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11315,Maldives,MDV,2021-03-04,137124,137124,0,7700.0,5545,25.37,25.37,0.0,10258.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11316,Maldives,MDV,2021-03-05,138827,138827,0,1703.0,5630,25.68,25.68,0.0,10415.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11317,Maldives,MDV,2021-03-06,145768,145768,0,6941.0,5754,26.97,26.97,0.0,10645.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11318,Maldives,MDV,2021-03-07,151643,151643,0,5875.0,5747,28.05,28.05,0.0,10632.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11319,Maldives,MDV,2021-03-08,157813,157813,0,6170.0,5814,29.2,29.2,0.0,10756.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11320,Maldives,MDV,2021-03-09,165675,165675,0,7862.0,6001,30.65,30.65,0.0,11102.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11321,Maldives,MDV,2021-03-10,175456,175456,0,9781.0,6576,32.46,32.46,0.0,12166.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11322,Maldives,MDV,2021-03-11,186930,186930,0,11474.0,7115,34.58,34.58,0.0,13163.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11323,Maldives,MDV,2021-03-12,188436,188436,0,1506.0,7087,34.86,34.86,0.0,13111.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11324,Maldives,MDV,2021-03-13,198206,198206,0,9770.0,7491,36.67,36.67,0.0,13858.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11325,Maldives,MDV,2021-03-14,206114,206114,0,7908.0,7782,38.13,38.13,0.0,14397.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11326,Maldives,MDV,2021-03-15,212711,212711,0,6597.0,7843,39.35,39.35,0.0,14510.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
11327,Maldives,MDV,2021-03-16,214486,214486,0,1775.0,6973,39.68,39.68,0.0,12900.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1396881963068235777
