,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11396,Mali,MLI,2021-03-30,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11397,Mali,MLI,2021-03-31,214,214,0,,214,0.0010362912086767984,0.0010362912086767984,0.0,11.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11398,Mali,MLI,2021-04-01,428,428,0,,214,0.002072582417353597,0.002072582417353597,0.0,11.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11399,Mali,MLI,2021-04-02,643,643,0,,214,0.0,0.0,0.0,11.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11400,Mali,MLI,2021-04-03,3201,3201,0,,800,0.01550078578960015,0.01550078578960015,0.0,40.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11401,Mali,MLI,2021-04-04,5759,5759,0,,1152,0.027887855470886368,0.027887855470886368,0.0,57.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11402,Mali,MLI,2021-04-05,8317,8317,0,,1386,0.04027492515217258,0.04027492515217258,0.0,68.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11403,Mali,MLI,2021-04-06,10876,10876,0,,1554,0.052666837315742336,0.052666837315742336,0.0,77.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11404,Mali,MLI,2021-04-07,13434,13434,0,,1889,0.06505390699702855,0.06505390699702855,0.0,93.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
11405,Mali,MLI,2021-04-08,15992,15992,0,,2223,0.07744097667831477,0.07744097667831477,0.0,110.0,Oxford/AstraZeneca,Ministry of Health,https://covid19.who.int/region/afro/country/ml
