,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11578,Mauritania,MRT,2021-03-26,0,0,0,,0,0.0,0.0,0.0,0.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11579,Mauritania,MRT,2021-03-27,227,227,0,,228,0.004807353259777299,0.004807353259777299,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11580,Mauritania,MRT,2021-03-28,455,455,0,,228,0.009635884287218814,0.009635884287218814,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11581,Mauritania,MRT,2021-03-29,683,683,0,,228,0.014464415314660332,0.014464415314660332,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11582,Mauritania,MRT,2021-03-30,910,910,0,,228,0.019271768574437628,0.019271768574437628,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11583,Mauritania,MRT,2021-03-31,1138,1138,0,,228,0.024100299601879146,0.024100299601879146,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11584,Mauritania,MRT,2021-04-01,1366,1366,0,,228,0.03,0.03,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11585,Mauritania,MRT,2021-04-02,1589,1589,0,,227,0.033651472818441094,0.033651472818441094,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11586,Mauritania,MRT,2021-04-03,1812,1812,0,,226,0.03837411500756152,0.03837411500756152,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11587,Mauritania,MRT,2021-04-04,2036,2036,0,,226,0.04311793496434617,0.04311793496434617,0.0,49.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11588,Mauritania,MRT,2021-04-05,2259,2259,0,,225,0.0478405771534666,0.0478405771534666,0.0,48.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11589,Mauritania,MRT,2021-04-06,2483,2483,0,,225,0.052584397110251244,0.052584397110251244,0.0,48.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11590,Mauritania,MRT,2021-04-07,2706,2706,0,,224,0.05730703929937167,0.05730703929937167,0.0,48.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11591,Mauritania,MRT,2021-04-08,2930,2930,0,,223,0.06,0.06,0.0,48.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11592,Mauritania,MRT,2021-04-09,3340,3340,0,,250,0.07073374399848537,0.07073374399848537,0.0,54.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11593,Mauritania,MRT,2021-04-10,3751,3751,0,,277,0.07943780650847863,0.07943780650847863,0.0,60.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11594,Mauritania,MRT,2021-04-11,4162,4162,0,,304,0.08814186901847189,0.08814186901847189,0.0,65.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11595,Mauritania,MRT,2021-04-12,4573,4573,0,,330,0.09684593152846514,0.09684593152846514,0.0,71.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11596,Mauritania,MRT,2021-04-13,4984,4984,0,,357,0.10554999403845841,0.10554999403845841,0.0,77.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11597,Mauritania,MRT,2021-04-14,5394,5394,0,,384,0.11423287878078744,0.11423287878078744,0.0,83.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11598,Mauritania,MRT,2021-04-15,5805,5805,0,,411,0.1229369412907807,0.1229369412907807,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11599,Mauritania,MRT,2021-04-16,6216,6216,0,,411,0.13164100380077395,0.13164100380077395,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11600,Mauritania,MRT,2021-04-17,6627,6627,0,,411,0.1403450663107672,0.1403450663107672,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11601,Mauritania,MRT,2021-04-18,7038,7038,0,,411,0.15,0.15,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11602,Mauritania,MRT,2021-04-19,7448,7448,0,,411,0.15773201356308952,0.15773201356308952,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11603,Mauritania,MRT,2021-04-20,7859,7859,0,,411,0.16643607607308278,0.16643607607308278,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11604,Mauritania,MRT,2021-04-21,8269,8269,0,,411,0.1751189608154118,0.1751189608154118,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11605,Mauritania,MRT,2021-04-22,8680,8680,0,,411,0.18382302332540507,0.18382302332540507,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11606,Mauritania,MRT,2021-04-23,9091,9091,0,,411,0.19252708583539835,0.19252708583539835,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
11607,Mauritania,MRT,2021-04-24,9501,9501,0,,411,0.20120997057772738,0.20120997057772738,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/05/Mauritania-COVID-19-Situation-Report-2021-05-23FR.pdf
