,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11745,Mexico,MEX,2020-12-24,2924,0,0,,0,0.0,0.0,0.0,0.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11746,Mexico,MEX,2020-12-25,4224,4224,0,,1300,0.0032820648999429413,0.0032820648999429413,0.0,10.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11747,Mexico,MEX,2020-12-26,5524,5524,0,,1300,0.004292170101156441,0.004292170101156441,0.0,10.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11748,Mexico,MEX,2020-12-27,6824,6824,0,,1300,0.01,0.01,0.0,10.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11749,Mexico,MEX,2020-12-28,9579,9579,0,2755.0,1664,0.01,0.01,0.0,13.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11750,Mexico,MEX,2020-12-29,18529,18529,0,8950.0,3121,0.01,0.01,0.0,24.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11751,Mexico,MEX,2020-12-30,24998,24998,0,6469.0,3679,0.02,0.02,0.0,29.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11752,Mexico,MEX,2020-12-31,28790,28790,0,,3695,0.02236994518687436,0.02236994518687436,0.0,29.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11753,Mexico,MEX,2021-01-01,32582,32582,0,,4051,0.025316344358414043,0.025316344358414043,0.0,31.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11754,Mexico,MEX,2021-01-02,36375,36375,0,,4407,0.028263520533954662,0.028263520533954662,0.0,34.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11755,Mexico,MEX,2021-01-03,40167,40167,0,,4763,0.031209919705494346,0.031209919705494346,0.0,37.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11756,Mexico,MEX,2021-01-04,43960,43960,0,,4912,0.03,0.03,0.0,38.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
11757,Mexico,MEX,2021-01-05,48236,48236,0,4276.0,4244,0.04,0.04,0.0,33.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/640569/CP_Salud_CTD_coronavirus_COVID-19__25may21.pdf
