,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11897,Moldova,MDA,2021-03-05,3849,0,0,,0,0.1,0.1,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11898,Moldova,MDA,2021-03-06,4368,4368,0,,520,0.10826531843958148,0.10826531843958148,0.0,129.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11899,Moldova,MDA,2021-03-07,4888,4888,0,,520,0.12115404682524594,0.12115404682524594,0.0,129.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11900,Moldova,MDA,2021-03-08,5407,5407,0,,520,0.13401798919478414,0.13401798919478414,0.0,129.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11901,Moldova,MDA,2021-03-09,5927,5927,0,,520,0.1469067175804486,0.1469067175804486,0.0,129.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11902,Moldova,MDA,2021-03-10,6447,6447,0,,520,0.16,0.16,0.0,129.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11903,Moldova,MDA,2021-03-11,8116,8116,0,1669.0,711,0.2,0.2,0.0,176.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11904,Moldova,MDA,2021-03-12,9341,9341,0,1225.0,785,0.23,0.23,0.0,195.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11905,Moldova,MDA,2021-03-13,11431,11431,0,2090.0,1009,0.28,0.28,0.0,250.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11906,Moldova,MDA,2021-03-14,12092,12092,0,,1029,0.2997125069989513,0.2997125069989513,0.0,255.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11907,Moldova,MDA,2021-03-15,12754,12754,0,,1049,0.32,0.32,0.0,260.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11908,Moldova,MDA,2021-03-16,14814,14814,0,2060.0,1270,0.37,0.37,0.0,315.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11909,Moldova,MDA,2021-03-17,16131,16131,0,1317.0,1383,0.4,0.4,0.0,343.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11910,Moldova,MDA,2021-03-18,17362,17362,0,,1321,0.43033481198443535,0.43033481198443535,0.0,327.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11911,Moldova,MDA,2021-03-19,18593,18593,0,,1322,0.46,0.46,0.0,328.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11912,Moldova,MDA,2021-03-20,19543,19543,0,,1159,0.48439311315584727,0.48439311315584727,0.0,287.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11913,Moldova,MDA,2021-03-21,20494,20494,0,,1200,0.51,0.51,0.0,297.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11914,Moldova,MDA,2021-03-22,20844,20844,0,,1156,0.5166397201361348,0.5166397201361348,0.0,287.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11915,Moldova,MDA,2021-03-23,21194,21194,0,,911,0.53,0.53,0.0,226.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11916,Moldova,MDA,2021-03-24,23454,23454,0,2260.0,1046,0.58,0.58,0.0,259.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11917,Moldova,MDA,2021-03-25,27445,27445,0,3991.0,1440,0.68,0.68,0.0,357.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11918,Moldova,MDA,2021-03-26,30722,30722,0,3277.0,1733,0.76,0.76,0.0,430.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11919,Moldova,MDA,2021-03-27,33885,33885,0,3163.0,2049,0.84,0.84,0.0,508.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11920,Moldova,MDA,2021-03-28,35494,35494,0,,2143,0.8797548563861047,0.8797548563861047,0.0,531.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11921,Moldova,MDA,2021-03-29,37103,37103,0,,2323,0.9196355563332856,0.9196355563332856,0.0,576.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11922,Moldova,MDA,2021-03-30,38712,38712,0,,2503,0.9595162562804667,0.9595162562804667,0.0,620.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11923,Moldova,MDA,2021-03-31,40321,40321,0,,2410,1.0,1.0,0.0,597.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11924,Moldova,MDA,2021-04-01,42154,42154,0,1833.0,2101,1.04,1.04,0.0,521.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11925,Moldova,MDA,2021-04-02,43944,43944,0,,1889,1.089196692653152,1.089196692653152,0.0,468.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11926,Moldova,MDA,2021-04-03,45734,45734,0,,1693,1.1335636615191895,1.1335636615191895,0.0,420.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11927,Moldova,MDA,2021-04-04,47524,47524,0,,1719,1.18,1.18,0.0,426.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11928,Moldova,MDA,2021-04-05,49549,49549,0,,1778,1.2281223130409393,1.2281223130409393,0.0,441.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11929,Moldova,MDA,2021-04-06,51574,51574,0,,1837,1.28,1.28,0.0,455.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11930,Moldova,MDA,2021-04-07,54907,54907,0,3333.0,2084,1.36,1.36,0.0,517.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11931,Moldova,MDA,2021-04-08,56234,56234,0,,2011,1.3938168308451064,1.3938168308451064,0.0,499.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11932,Moldova,MDA,2021-04-09,57561,57561,0,,1945,1.43,1.43,0.0,482.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
11933,Moldova,MDA,2021-04-10,60870,60870,0,,2162,1.5087248016065304,1.5087248016065304,0.0,536.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
