,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11979,Monaco,MCO,2020-12-30,0,0,0,,0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11980,Monaco,MCO,2020-12-31,132,132,0,,126,0.3214285714285714,0.336734693877551,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11981,Monaco,MCO,2021-01-01,264,264,0,,126,0.6428571428571428,0.673469387755102,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11982,Monaco,MCO,2021-01-02,396,396,0,,126,0.9642857142857142,1.010204081632653,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11983,Monaco,MCO,2021-01-03,528,528,0,,126,1.288265306122449,1.346938775510204,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11984,Monaco,MCO,2021-01-04,660,660,0,,126,1.6096938775510203,1.683673469387755,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11985,Monaco,MCO,2021-01-05,792,792,0,,126,1.9311224489795917,2.020408163265306,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11986,Monaco,MCO,2021-01-06,924,924,0,,126,2.2551020408163267,2.357142857142857,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11987,Monaco,MCO,2021-01-07,1056,1056,0,,126,2.576530612244898,2.693877551020408,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
11988,Monaco,MCO,2021-01-08,1188,1188,0,,126,2.8979591836734695,3.030612244897959,0.0,3211.0,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-Aucun-nouveau-cas-positif-et-3-guerisons-ce-mercredi-19-mai
