,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12119,Mongolia,MNG,2021-02-22,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12120,Mongolia,MNG,2021-02-23,1037,1037,0,,1037,0.03161553557540427,0.03161553557540427,0.0,316.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12121,Mongolia,MNG,2021-02-24,2074,2074,0,,1037,0.06323107115080855,0.06323107115080855,0.0,316.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12122,Mongolia,MNG,2021-02-25,3112,3112,0,,1037,0.09,0.09,0.0,316.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12123,Mongolia,MNG,2021-02-26,4926,4926,0,1814.0,1232,0.15,0.15,0.0,376.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12124,Mongolia,MNG,2021-02-27,6808,6808,0,1882.0,1362,0.21,0.21,0.0,415.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12125,Mongolia,MNG,2021-02-28,7715,7715,0,,1286,0.23521104818152744,0.23521104818152744,0.0,392.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12126,Mongolia,MNG,2021-03-01,8623,8623,0,,1232,0.2628936964963462,0.2628936964963462,0.0,376.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12127,Mongolia,MNG,2021-03-02,9531,9531,0,,1213,0.29,0.29,0.0,370.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12128,Mongolia,MNG,2021-03-03,11365,11365,0,,1327,0.34649041640739586,0.34649041640739586,0.0,405.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12129,Mongolia,MNG,2021-03-04,13200,13200,0,,1441,0.4,0.4,0.0,440.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
12130,Mongolia,MNG,2021-03-05,14755,14755,0,,1404,0.44984303511580526,0.44984303511580526,0.0,428.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
