,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12212,Montenegro,MNE,2021-02-20,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12213,Montenegro,MNE,2021-02-21,222,222,0,,223,0.03533343943975808,0.03533343943975808,0.0,355.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12214,Montenegro,MNE,2021-02-22,445,445,0,,223,0.07082603851663219,0.07082603851663219,0.0,355.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12215,Montenegro,MNE,2021-02-23,667,667,0,,223,0.10615947795639025,0.10615947795639025,0.0,355.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12216,Montenegro,MNE,2021-02-24,890,890,0,,223,0.14165207703326438,0.14165207703326438,0.0,355.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12217,Montenegro,MNE,2021-02-25,1113,1113,0,,223,0.18,0.18,0.0,355.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12218,Montenegro,MNE,2021-02-26,1288,1288,0,175.0,215,0.21,0.21,0.0,342.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12219,Montenegro,MNE,2021-02-27,1369,1369,0,,196,0.2178895432118415,0.2178895432118415,0.0,312.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12220,Montenegro,MNE,2021-02-28,1450,1450,0,,175,0.23078147381823969,0.23078147381823969,0.0,279.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12221,Montenegro,MNE,2021-03-01,1531,1531,0,,155,0.24,0.24,0.0,247.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12222,Montenegro,MNE,2021-03-02,1729,1729,0,,152,0.27518701257361133,0.27518701257361133,0.0,242.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12223,Montenegro,MNE,2021-03-03,1927,1927,0,,148,0.31,0.31,0.0,236.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12224,Montenegro,MNE,2021-03-04,2088,2088,0,,139,0.33232532229826517,0.33232532229826517,0.0,221.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12225,Montenegro,MNE,2021-03-05,2250,2250,0,,137,0.36,0.36,0.0,218.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12226,Montenegro,MNE,2021-03-06,2406,2406,0,156.0,148,0.38,0.38,0.0,236.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12227,Montenegro,MNE,2021-03-07,2734,2734,0,,183,0.43514244787521883,0.43514244787521883,0.0,291.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12228,Montenegro,MNE,2021-03-08,3062,3062,0,,219,0.49,0.49,0.0,349.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
12229,Montenegro,MNE,2021-03-09,3140,3140,0,,202,0.499761260544326,0.499761260544326,0.0,322.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
