,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12307,Montserrat,MSR,2021-02-08,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12308,Montserrat,MSR,2021-02-09,43,43,0,,43,0.8716805189539835,0.8716805189539835,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12309,Montserrat,MSR,2021-02-10,86,86,0,,43,1.743361037907967,1.743361037907967,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12310,Montserrat,MSR,2021-02-11,130,130,0,,43,2.6353131968376244,2.6353131968376244,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12311,Montserrat,MSR,2021-02-12,173,173,0,,43,3.506993715791608,3.506993715791608,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12312,Montserrat,MSR,2021-02-13,217,217,0,,43,4.398945874721265,4.398945874721265,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12313,Montserrat,MSR,2021-02-14,260,260,0,,43,5.270626393675249,5.270626393675249,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12314,Montserrat,MSR,2021-02-15,304,304,0,,43,6.162578552604906,6.162578552604906,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12315,Montserrat,MSR,2021-02-16,347,347,0,,43,7.034259071558889,7.034259071558889,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12316,Montserrat,MSR,2021-02-17,391,391,0,,43,7.926211230488546,7.926211230488546,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12317,Montserrat,MSR,2021-02-18,434,434,0,,43,8.79789174944253,8.79789174944253,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12318,Montserrat,MSR,2021-02-19,478,478,0,,43,9.689843908372188,9.689843908372188,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12319,Montserrat,MSR,2021-02-20,521,521,0,,43,10.56152442732617,10.56152442732617,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12320,Montserrat,MSR,2021-02-21,565,565,0,,43,11.453476586255828,11.453476586255828,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12321,Montserrat,MSR,2021-02-22,608,608,0,,43,12.325157105209811,12.325157105209811,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12322,Montserrat,MSR,2021-02-23,652,652,0,,43,13.04,13.04,0.0,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12323,Montserrat,MSR,2021-02-24,670,668,2,,40,13.581998783701602,13.541455503750251,0.040543279951348064,8002.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12324,Montserrat,MSR,2021-02-25,689,684,5,,36,13.967159943239407,13.86580174336104,0.10135819987837015,7201.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12325,Montserrat,MSR,2021-02-26,708,700,8,,33,14.352321102777216,14.190147982971823,0.16217311980539226,6601.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12326,Montserrat,MSR,2021-02-27,726,716,10,,29,14.717210622339346,14.514494222582607,0.2027163997567403,5801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12327,Montserrat,MSR,2021-02-28,745,732,13,,26,15.102371781877155,14.838840462193392,0.2635313196837624,5201.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12328,Montserrat,MSR,2021-03-01,764,748,16,,22,15.487532941414962,15.163186701804177,0.3243462396107845,4401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12329,Montserrat,MSR,2021-03-02,782,764,18,,19,15.852422460977092,15.487532941414962,0.36488951956213256,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12330,Montserrat,MSR,2021-03-03,801,780,21,,19,16.2375836205149,15.811879181025745,0.42570443948915465,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12331,Montserrat,MSR,2021-03-04,820,796,24,,19,16.622744780052706,16.136225420636528,0.4865193594161768,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12332,Montserrat,MSR,2021-03-05,838,812,26,,19,16.98763429961484,16.460571660247314,0.5270626393675248,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12333,Montserrat,MSR,2021-03-06,857,828,29,,19,17.372795459152645,16.784917899858097,0.5878775592945469,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12334,Montserrat,MSR,2021-03-07,876,844,32,,19,17.75795661869045,17.109264139468884,0.648692479221569,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12335,Montserrat,MSR,2021-03-08,894,860,34,,19,18.122846138252584,17.433610379079667,0.6892357591729171,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12336,Montserrat,MSR,2021-03-09,913,876,37,,19,18.508007297790392,17.75795661869045,0.7500506790999392,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12337,Montserrat,MSR,2021-03-10,932,892,40,,19,18.64,17.84,0.8,3801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12338,Montserrat,MSR,2021-03-11,985,923,61,,24,19.96756537603892,18.71072369754713,1.236570038516116,4801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12339,Montserrat,MSR,2021-03-12,1038,954,83,,29,21.041962294749645,19.339144536793025,1.6825461179809444,5801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12340,Montserrat,MSR,2021-03-13,1092,986,105,,34,22.136630853436042,19.987837016014595,2.1285221974457733,6801.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12341,Montserrat,MSR,2021-03-14,1145,1017,127,,39,23.211027772146767,20.616257855260493,2.574498276910602,7802.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12342,Montserrat,MSR,2021-03-15,1199,1049,149,,43,24.305696330833165,21.264950334482062,3.0204743563754306,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12343,Montserrat,MSR,2021-03-16,1252,1080,171,,48,25.38009324954389,21.893371173727953,3.46645043584026,9602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12344,Montserrat,MSR,2021-03-17,1306,1112,194,,53,26.13,22.24,3.88,10602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12345,Montserrat,MSR,2021-03-18,1322,1123,199,,48,26.79910804784107,22.765051692681936,4.034056355159132,9602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12346,Montserrat,MSR,2021-03-19,1339,1134,205,,43,27.143725927427532,22.988039732414354,4.1556861950131765,8602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12347,Montserrat,MSR,2021-03-20,1356,1145,211,,38,27.488343807013987,23.211027772146767,4.277316034867221,7602.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12348,Montserrat,MSR,2021-03-21,1373,1156,217,,33,27.832961686600445,23.43401581187918,4.398945874721265,6601.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12349,Montserrat,MSR,2021-03-22,1390,1167,223,,27,28.177579566186907,23.657003851611595,4.520575714575309,5401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12350,Montserrat,MSR,2021-03-23,1407,1178,229,,22,28.52219744577336,23.87999189134401,4.642205554429353,4401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12351,Montserrat,MSR,2021-03-24,1424,1189,235,,17,28.866815325359823,24.102979931076423,4.763835394283397,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12352,Montserrat,MSR,2021-03-25,1440,1200,240,,17,29.191161564970606,24.325967970808836,4.865193594161768,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12353,Montserrat,MSR,2021-03-26,1457,1211,246,,17,29.535779444557065,24.548956010541254,4.986823434015812,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12354,Montserrat,MSR,2021-03-27,1474,1222,252,,17,29.88039732414352,24.771944050273667,5.1084532738698565,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12355,Montserrat,MSR,2021-03-28,1491,1233,258,,17,30.22501520372998,24.99493209000608,5.2300831137239,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12356,Montserrat,MSR,2021-03-29,1508,1244,264,,17,30.56963308331644,25.2179201297385,5.351712953577945,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12357,Montserrat,MSR,2021-03-30,1525,1255,270,,17,30.9142509629029,25.44090816947091,5.473342793431988,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12358,Montserrat,MSR,2021-03-31,1542,1266,276,,17,30.85,25.33,5.52,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12359,Montserrat,MSR,2021-04-01,1556,1267,288,,17,31.542671802148792,25.684167849178998,5.838232312994121,3401.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12360,Montserrat,MSR,2021-04-02,1571,1268,302,,16,31.846746401783903,25.704439489154673,6.122035272653557,3201.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12361,Montserrat,MSR,2021-04-03,1586,1269,316,,16,32.15082100141902,25.724711129130345,6.405838232312994,3201.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12362,Montserrat,MSR,2021-04-04,1601,1271,329,,16,32.454895601054126,25.765254409081695,6.669369551996756,3201.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12363,Montserrat,MSR,2021-04-05,1616,1272,343,,15,32.758970200689234,25.785526049057367,6.953172511656193,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12364,Montserrat,MSR,2021-04-06,1631,1273,357,,15,33.06304480032435,25.805797689033046,7.236975471315629,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12365,Montserrat,MSR,2021-04-07,1646,1275,371,,15,33.367119399959456,25.84634096898439,7.520778430975065,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12366,Montserrat,MSR,2021-04-08,1661,1276,384,,15,33.671193999594564,25.866612608960065,7.784309750658829,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12367,Montserrat,MSR,2021-04-09,1676,1277,398,,15,33.97526859922968,25.886884248935736,8.068112710318264,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12368,Montserrat,MSR,2021-04-10,1691,1278,412,,15,34.27934319886479,25.907155888911415,8.351915669977702,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12369,Montserrat,MSR,2021-04-11,1706,1280,425,,15,34.5834177984999,25.94769916886276,8.615446989661464,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12370,Montserrat,MSR,2021-04-12,1721,1281,439,,15,34.88749239813501,25.967970808838437,8.8992499493209,3001.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
