,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12528,Mozambique,MOZ,2021-03-07,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12529,Mozambique,MOZ,2021-03-08,7739,7739,0,,7740,0.024780871485516706,0.024780871485516706,0.0,248.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12530,Mozambique,MOZ,2021-03-09,15479,15479,0,,7740,0.04956494504772103,0.04956494504772103,0.0,248.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12531,Mozambique,MOZ,2021-03-10,23219,23219,0,,7740,0.07434901860992536,0.07434901860992536,0.0,248.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12532,Mozambique,MOZ,2021-03-11,30959,30959,0,,7740,0.09913309217212968,0.09913309217212968,0.0,248.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12533,Mozambique,MOZ,2021-03-12,38699,38699,0,,7740,0.12391716573433399,0.12391716573433399,0.0,248.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12534,Mozambique,MOZ,2021-03-13,46439,46439,0,,7740,0.15,0.15,0.0,248.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12535,Mozambique,MOZ,2021-03-14,47525,47525,0,,6789,0.15217869457929722,0.15217869457929722,0.0,217.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12536,Mozambique,MOZ,2021-03-15,48612,48612,0,,5839,0.15565935193874375,0.15565935193874375,0.0,187.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12537,Mozambique,MOZ,2021-03-16,49698,49698,0,,4888,0.15913680722150267,0.15913680722150267,0.0,156.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12538,Mozambique,MOZ,2021-03-17,50785,50785,0,,3938,0.16261746458094917,0.16261746458094917,0.0,126.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12539,Mozambique,MOZ,2021-03-18,51872,51872,0,,2988,0.16609812194039572,0.16609812194039572,0.0,96.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12540,Mozambique,MOZ,2021-03-19,52958,52958,0,,2037,0.1695755772231546,0.1695755772231546,0.0,65.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12541,Mozambique,MOZ,2021-03-20,54045,54045,0,,1087,0.17305623458260114,0.17305623458260114,0.0,35.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12542,Mozambique,MOZ,2021-03-21,55131,55131,0,,1087,0.17653368986536006,0.17653368986536006,0.0,35.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12543,Mozambique,MOZ,2021-03-22,56218,56218,0,,1087,0.18001434722480655,0.18001434722480655,0.0,35.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12544,Mozambique,MOZ,2021-03-23,57305,57305,0,,1087,0.18,0.18,0.0,35.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12545,Mozambique,MOZ,2021-03-24,63278,62098,1179,,1785,0.20262100863942703,0.19884255814803156,0.0037752484147078685,57.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12546,Mozambique,MOZ,2021-03-25,69252,66892,2359,,2483,0.22175021477128862,0.21419331378849765,0.00755369890610336,79.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12547,Mozambique,MOZ,2021-03-26,75226,71685,3540,,3181,0.24087942090315023,0.2295408673522761,0.011335351474186474,102.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
