,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12601,Myanmar,MMR,2021-01-26,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12602,Myanmar,MMR,2021-01-27,3800,3800,0,3800.0,3800,0.01,0.01,0.0,70.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12603,Myanmar,MMR,2021-01-28,45600,45600,0,,22800,0.08637716060580924,0.08637716060580924,0.0,419.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12604,Myanmar,MMR,2021-01-29,87400,87400,0,,29133,0.16555622449446772,0.16555622449446772,0.0,535.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12605,Myanmar,MMR,2021-01-30,129200,129200,0,,32300,0.2447352883831262,0.2447352883831262,0.0,594.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12606,Myanmar,MMR,2021-01-31,171000,171000,0,,34200,0.32391435227178467,0.32391435227178467,0.0,629.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12607,Myanmar,MMR,2021-02-01,212800,212800,0,,35467,0.40309341616044314,0.40309341616044314,0.0,652.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12608,Myanmar,MMR,2021-02-02,254600,254600,0,,36371,0.4822724800491016,0.4822724800491016,0.0,668.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12609,Myanmar,MMR,2021-02-03,296400,296400,0,,41800,0.5614515439377601,0.5614515439377601,0.0,768.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12610,Myanmar,MMR,2021-02-04,338200,338200,0,,41800,0.6406306078264186,0.6406306078264186,0.0,768.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12611,Myanmar,MMR,2021-02-05,380000,380000,0,,41800,0.7,0.7,0.0,768.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12612,Myanmar,MMR,2021-02-06,392222,391481,740,,37575,0.7429610238406078,0.7415573949807633,0.0014017346238662028,691.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12613,Myanmar,MMR,2021-02-07,404444,402962,1481,,33349,0.7661123759661385,0.7633051182464496,0.002805363483710603,613.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12614,Myanmar,MMR,2021-02-08,416666,414444,2221,,29124,0.7892637280916692,0.7850547357481141,0.004207098107576806,535.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12615,Myanmar,MMR,2021-02-09,428888,425925,2962,,24898,0.8124150802171999,0.8068024590138004,0.005610726967421206,458.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12616,Myanmar,MMR,2021-02-10,441111,437407,3703,,20673,0.8355683265787087,0.828552076515465,0.007014355827265606,380.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12617,Myanmar,MMR,2021-02-11,453333,448888,4444,,16448,0.8587196787042395,0.8502997997811514,0.008417984687110008,302.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12618,Myanmar,MMR,2021-02-12,465555,460370,5184,,12222,0.8818710308297703,0.8720494172828158,0.00981971931097621,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12619,Myanmar,MMR,2021-02-13,477777,471851,5925,,12222,0.9050223829553009,0.8937971405485021,0.011223348170820609,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12620,Myanmar,MMR,2021-02-14,490000,483333,6666,,12222,0.92817562931681,0.9155467580501666,0.01262697703066501,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12621,Myanmar,MMR,2021-02-15,502222,494814,7407,,12222,0.9513269814423406,0.9372944813158529,0.01403060589050941,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12622,Myanmar,MMR,2021-02-16,514444,506296,8147,,12222,0.9744783335678714,0.9590440988175176,0.015432340514375613,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12623,Myanmar,MMR,2021-02-17,526666,517777,8888,,12222,0.9976296856934022,0.9807918220832039,0.016835969374220015,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12624,Myanmar,MMR,2021-02-18,538888,529259,9628,,12222,1.0207810378189328,1.0025414395848684,0.018237703998086215,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12625,Myanmar,MMR,2021-02-19,551111,540740,10370,,12222,1.0439342841804418,1.0242891628505546,0.019643227093908814,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12626,Myanmar,MMR,2021-02-20,563333,552222,11110,,12222,1.0670856363059724,1.046038780352219,0.021044961717775014,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12627,Myanmar,MMR,2021-02-21,575555,563703,11851,,12222,1.090236988431503,1.0677865036179055,0.022448590577619415,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12628,Myanmar,MMR,2021-02-22,587777,575185,12591,,12222,1.1133883405570337,1.08953612111957,0.02385032520148562,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12629,Myanmar,MMR,2021-02-23,600000,586666,13333,,12222,1.1365415869185427,1.1112838443852562,0.025255848297308217,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12630,Myanmar,MMR,2021-02-24,612222,598148,14073,,12222,1.1596929390440733,1.133033461886921,0.02665758292117442,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12631,Myanmar,MMR,2021-02-25,624444,609629,14814,,12222,1.1828442911696042,1.154781185152607,0.02806121178101882,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12632,Myanmar,MMR,2021-02-26,636666,621111,15554,,12222,1.2059956432951349,1.1765308026542716,0.02946294640488502,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12633,Myanmar,MMR,2021-02-27,648888,632592,16295,,12222,1.2291469954206655,1.198278525919958,0.030866575264729423,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12634,Myanmar,MMR,2021-02-28,661111,644074,17036,,12222,1.2523002417821745,1.2200281434216225,0.03227020412457382,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12635,Myanmar,MMR,2021-03-01,673333,655555,17777,,12222,1.2754515939077051,1.2417758666873087,0.03367383298441822,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12636,Myanmar,MMR,2021-03-02,685555,667037,18517,,12222,1.2986029460332358,1.2635254841889734,0.035075567608284425,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12637,Myanmar,MMR,2021-03-03,697777,678518,19258,,12222,1.3217542981587667,1.2852732074546598,0.036479196468128826,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12638,Myanmar,MMR,2021-03-04,710000,690000,20000,,12222,1.3449075445202756,1.307022824956324,0.037884719563951424,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12639,Myanmar,MMR,2021-03-05,722222,701481,20740,,12222,1.3680588966458063,1.3287705482220105,0.03928645418781763,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12640,Myanmar,MMR,2021-03-06,734444,712962,21481,,12222,1.3912102487713371,1.3505182714876969,0.04069008304766203,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12641,Myanmar,MMR,2021-03-07,746666,724444,22221,,12222,1.4143616008968678,1.3722678889893611,0.042091817671528226,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12642,Myanmar,MMR,2021-03-08,758888,735925,22962,,12222,1.4375129530223985,1.3940156122550476,0.04349544653137263,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12643,Myanmar,MMR,2021-03-09,771111,747407,23703,,12222,1.4606661993839074,1.4157652297567123,0.04489907539121703,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12644,Myanmar,MMR,2021-03-10,783333,758888,24444,,12222,1.483817551509438,1.4375129530223985,0.04630270425106143,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12645,Myanmar,MMR,2021-03-11,795555,770370,25184,,12222,1.5069689036349687,1.459262570524063,0.04770443887492763,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12646,Myanmar,MMR,2021-03-12,807777,781851,25925,,12222,1.5301202557604996,1.4810102937897494,0.04910806773477203,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12647,Myanmar,MMR,2021-03-13,820000,793333,26666,,12222,1.5532735021220083,1.5027599112914136,0.050511696594616434,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12648,Myanmar,MMR,2021-03-14,832222,804814,27407,,12222,1.5764248542475392,1.5245076345571,0.051915325454460835,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12649,Myanmar,MMR,2021-03-15,844444,816296,28147,,12222,1.5995762063730699,1.5462572520587645,0.05331706007832704,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12650,Myanmar,MMR,2021-03-16,856666,827777,28888,,12222,1.6227275584986007,1.568004975324451,0.05472068893817144,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12651,Myanmar,MMR,2021-03-17,868888,839259,29628,,12222,1.6458789106241312,1.5897545928261154,0.05612242356203764,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12652,Myanmar,MMR,2021-03-18,881111,850740,30370,,12222,1.6690321569856403,1.6115023160918018,0.05752794665786024,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12653,Myanmar,MMR,2021-03-19,893333,862222,31110,,12222,1.6921835091111708,1.6332519335934663,0.058929681281726445,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12654,Myanmar,MMR,2021-03-20,905555,873703,31851,,12222,1.7153348612367016,1.6549996568591525,0.06033331014157083,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12655,Myanmar,MMR,2021-03-21,917777,885185,32591,,12222,1.7384862133622323,1.676749274360817,0.06173504476543704,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12656,Myanmar,MMR,2021-03-22,930000,896666,33333,,12222,1.7616394597237413,1.6984969976265034,0.06314056786125964,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12657,Myanmar,MMR,2021-03-23,942222,908148,34073,,12222,1.784790811849272,1.7202466151281677,0.06454230248512584,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12658,Myanmar,MMR,2021-03-24,954444,919629,34814,,12222,1.8079421639748028,1.741994338393854,0.06594593134497025,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12659,Myanmar,MMR,2021-03-25,966666,931111,35554,,12222,1.8310935161003332,1.7637439558955186,0.06734766596883644,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12660,Myanmar,MMR,2021-03-26,978888,942592,36295,,12222,1.854244868225864,1.7854916791612048,0.06875129482868085,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12661,Myanmar,MMR,2021-03-27,991111,954074,37036,,12222,1.8773981145873728,1.8072412966628697,0.07015492368852524,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12662,Myanmar,MMR,2021-03-28,1003333,965555,37777,,12222,1.9005494667129037,1.828989019928556,0.07155855254836965,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12663,Myanmar,MMR,2021-03-29,1015555,977037,38517,,12222,1.9237008188384344,1.8507386374302204,0.07296028717223585,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12664,Myanmar,MMR,2021-03-30,1027777,988518,39258,,12222,1.9468521709639652,1.8724863606959068,0.07436391603208024,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12665,Myanmar,MMR,2021-03-31,1040000,1000000,40000,,12222,1.91,1.84,0.07,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12666,Myanmar,MMR,2021-04-01,1073043,1021739,51303,,15197,2.0325966567530567,1.935414774127608,0.09717998838946999,279.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12667,Myanmar,MMR,2021-04-02,1106086,1043478,62607,,18171,2.0951878961806387,1.9765935700576454,0.11859243188701535,334.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12668,Myanmar,MMR,2021-04-03,1139130,1065217,73912,,21146,2.157781029844199,2.0177723659876823,0.14000676962053887,389.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12669,Myanmar,MMR,2021-04-04,1172173,1086956,85216,,24120,2.2203722692717816,2.058951161917719,0.16141921311808421,443.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12670,Myanmar,MMR,2021-04-05,1205217,1108695,96521,,27095,2.282965402935342,2.100129957847756,0.18283355085160777,498.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12671,Myanmar,MMR,2021-04-06,1238260,1130434,107825,,30069,2.3455566423629244,2.141308753777793,0.20424599434915308,553.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12672,Myanmar,MMR,2021-04-07,1271304,1152173,119130,,33043,2.408149776026485,2.1824875497078304,0.22566033208267663,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12673,Myanmar,MMR,2021-04-08,1304347,1173913,130433,,33043,2.4707410154540677,2.223668239873845,0.24707088134424382,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12674,Myanmar,MMR,2021-04-09,1337391,1195652,141738,,33043,2.533334149117628,2.2648470358038826,0.26848521907776735,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12675,Myanmar,MMR,2021-04-10,1370434,1217391,153042,,33043,2.59592538854521,2.3060258317339195,0.2898976625753127,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12676,Myanmar,MMR,2021-04-11,1403478,1239130,164347,,33043,2.658518522208771,2.3472046276639564,0.31131200030883627,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12677,Myanmar,MMR,2021-04-12,1436521,1260869,175651,,33043,2.7211097616363533,2.3883834235939934,0.33272444380638155,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
12678,Myanmar,MMR,2021-04-13,1469565,1282608,186956,,33043,2.7837028952999137,2.4295622195240303,0.35413878153990513,607.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
