,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12709,Namibia,NAM,2021-03-18,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12710,Namibia,NAM,2021-03-19,21,21,0,,22,0.0008338849548491006,0.0008338849548491006,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12711,Namibia,NAM,2021-03-20,43,43,0,,22,0.001707478717071968,0.001707478717071968,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12712,Namibia,NAM,2021-03-21,65,65,0,,22,0.002581072479294835,0.002581072479294835,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12713,Namibia,NAM,2021-03-22,86,86,0,,22,0.003414957434143936,0.003414957434143936,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12714,Namibia,NAM,2021-03-23,108,108,0,,22,0.004288551196366803,0.004288551196366803,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12715,Namibia,NAM,2021-03-24,130,130,0,,22,0.00516214495858967,0.00516214495858967,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12716,Namibia,NAM,2021-03-25,152,152,0,,22,0.01,0.01,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12717,Namibia,NAM,2021-03-26,376,376,0,,51,0.014930511572536278,0.014930511572536278,0.0,20.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
12718,Namibia,NAM,2021-03-27,601,601,0,,80,0.023864993231633783,0.023864993231633783,0.0,31.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/752596795413326
