,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12778,Nauru,NRU,2021-04-08,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12779,Nauru,NRU,2021-04-09,168,168,0,168.0,168,1.55,1.55,0.0,15507.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12780,Nauru,NRU,2021-04-10,216,216,0,,108,2.0,2.0,0.0,9969.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12781,Nauru,NRU,2021-04-11,264,264,0,,88,2.4444444444444446,2.4444444444444446,0.0,8123.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12782,Nauru,NRU,2021-04-12,313,313,0,,78,2.8981481481481484,2.8981481481481484,0.0,7200.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12783,Nauru,NRU,2021-04-13,361,361,0,,72,3.342592592592593,3.342592592592593,0.0,6646.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12784,Nauru,NRU,2021-04-14,409,409,0,,68,3.787037037037037,3.787037037037037,0.0,6277.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12785,Nauru,NRU,2021-04-15,458,458,0,,65,4.2407407407407405,4.2407407407407405,0.0,6000.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12786,Nauru,NRU,2021-04-16,506,506,0,,48,4.685185185185185,4.685185185185185,0.0,4430.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12787,Nauru,NRU,2021-04-17,554,554,0,,48,5.12962962962963,5.12962962962963,0.0,4430.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12788,Nauru,NRU,2021-04-18,603,603,0,,48,5.583333333333333,5.583333333333333,0.0,4430.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12789,Nauru,NRU,2021-04-19,651,651,0,,48,6.027777777777778,6.027777777777778,0.0,4430.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12790,Nauru,NRU,2021-04-20,700,700,0,,48,6.46,6.46,0.0,4430.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12791,Nauru,NRU,2021-04-21,939,939,0,,76,8.694444444444445,8.694444444444445,0.0,7015.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12792,Nauru,NRU,2021-04-22,1178,1178,0,,103,10.907407407407407,10.907407407407407,0.0,9507.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12793,Nauru,NRU,2021-04-23,1417,1417,0,,130,13.12037037037037,13.12037037037037,0.0,11999.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12794,Nauru,NRU,2021-04-24,1656,1656,0,,157,15.333333333333332,15.333333333333332,0.0,14491.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12795,Nauru,NRU,2021-04-25,1895,1895,0,,185,17.546296296296298,17.546296296296298,0.0,17076.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12796,Nauru,NRU,2021-04-26,2134,2134,0,,212,19.75925925925926,19.75925925925926,0.0,19568.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12797,Nauru,NRU,2021-04-27,2373,2373,0,,239,21.972222222222225,21.972222222222225,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12798,Nauru,NRU,2021-04-28,2612,2612,0,,239,24.185185185185183,24.185185185185183,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12799,Nauru,NRU,2021-04-29,2851,2851,0,,239,26.39814814814815,26.39814814814815,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12800,Nauru,NRU,2021-04-30,3090,3090,0,,239,28.61111111111111,28.61111111111111,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12801,Nauru,NRU,2021-05-01,3329,3329,0,,239,30.824074074074076,30.824074074074076,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12802,Nauru,NRU,2021-05-02,3568,3568,0,,239,33.03703703703704,33.03703703703704,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12803,Nauru,NRU,2021-05-03,3807,3807,0,,239,35.25,35.25,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12804,Nauru,NRU,2021-05-04,4046,4046,0,,239,37.46296296296296,37.46296296296296,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12805,Nauru,NRU,2021-05-05,4285,4285,0,,239,39.675925925925924,39.675925925925924,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12806,Nauru,NRU,2021-05-06,4524,4524,0,,239,41.888888888888886,41.888888888888886,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
12807,Nauru,NRU,2021-05-07,4763,4763,0,,239,44.101851851851855,44.101851851851855,0.0,22060.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
