,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12819,Nepal,NPL,2021-01-26,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12820,Nepal,NPL,2021-01-27,18862,18862,0,,18862,0.06471031686647546,0.06471031686647546,0.0,647.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12821,Nepal,NPL,2021-01-28,37725,37725,0,,18862,0.1294240644569922,0.1294240644569922,0.0,647.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12822,Nepal,NPL,2021-01-29,56587,56587,0,,18862,0.19413438132346766,0.19413438132346766,0.0,647.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12823,Nepal,NPL,2021-01-30,75450,75450,0,,18862,0.2588481289139844,0.2588481289139844,0.0,647.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12824,Nepal,NPL,2021-01-31,94312,94312,0,,18862,0.32355844578045984,0.32355844578045984,0.0,647.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12825,Nepal,NPL,2021-02-01,113175,113175,0,,18862,0.39,0.39,0.0,647.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12826,Nepal,NPL,2021-02-02,128279,128279,0,,18326,0.4400898492903513,0.4400898492903513,0.0,629.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12827,Nepal,NPL,2021-02-03,143383,143383,0,,17789,0.491907505209726,0.491907505209726,0.0,611.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12828,Nepal,NPL,2021-02-04,158487,158487,0,,17252,0.54,0.54,0.0,592.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12829,Nepal,NPL,2021-02-05,173723,173723,0,,16734,0.5959956726219233,0.5959956726219233,0.0,574.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12830,Nepal,NPL,2021-02-06,188959,188959,0,,16216,0.6482661841147459,0.6482661841147459,0.0,557.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12831,Nepal,NPL,2021-02-07,204195,204195,0,,15698,0.7005366956075686,0.7005366956075686,0.0,539.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
12832,Nepal,NPL,2021-02-08,219431,219431,0,,15179,0.7528072071003912,0.7528072071003912,0.0,521.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60ae315e9a2be_SitRep472_COVID-19_26-05-2021_EN.pdf
