,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
12939,Netherlands,NLD,2021-01-10,33756,0,0,,0,0.2,0.2,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12940,Netherlands,NLD,2021-01-11,39942,39942,0,,6186,0.2313877594125756,0.2313877594125756,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12941,Netherlands,NLD,2021-01-12,46128,46128,0,,6186,0.26722383872072725,0.26722383872072725,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12942,Netherlands,NLD,2021-01-13,52314,52314,0,,6186,0.30305991802887894,0.30305991802887894,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12943,Netherlands,NLD,2021-01-14,58500,58500,0,,6186,0.3388959973370306,0.3388959973370306,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12944,Netherlands,NLD,2021-01-15,64686,64686,0,,6186,0.3747320766451822,0.3747320766451822,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12945,Netherlands,NLD,2021-01-16,70872,70872,0,,6186,0.4105681559533339,0.4105681559533339,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12946,Netherlands,NLD,2021-01-17,77059,77059,0,,6186,0.45,0.45,0.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12947,Netherlands,NLD,2021-01-18,89870,89870,0,,7133,0.520625355225281,0.520625355225281,0.0,416.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12948,Netherlands,NLD,2021-01-19,102682,102682,0,,8079,0.5948464751890764,0.5948464751890764,0.0,471.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12949,Netherlands,NLD,2021-01-20,115494,115494,0,,9026,0.669067595152872,0.669067595152872,0.0,527.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12950,Netherlands,NLD,2021-01-21,128305,128305,0,,9972,0.7432829220226959,0.7432829220226959,0.0,582.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12951,Netherlands,NLD,2021-01-22,141117,141117,0,,10919,0.8175040419864913,0.8175040419864913,0.0,637.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12952,Netherlands,NLD,2021-01-23,153929,153929,0,,11865,0.8917251619502868,0.8917251619502868,0.0,692.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12953,Netherlands,NLD,2021-01-24,166741,166741,0,,12812,0.97,0.97,0.0,748.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12954,Netherlands,NLD,2021-01-25,193292,192949,343,,14775,1.1197587199533217,1.1177716887210718,0.0019870312322495982,862.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12955,Netherlands,NLD,2021-01-26,219844,219157,687,,16737,1.2735769510865325,1.2695970955280615,0.003979855558470769,977.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12956,Netherlands,NLD,2021-01-27,246395,245365,1030,,18700,1.4273893891257718,1.4214225023350513,0.005966886790720367,1091.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12957,Netherlands,NLD,2021-01-28,272947,271573,1374,,20663,1.5812076202589824,1.573247909142041,0.007959711116941538,1206.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12958,Netherlands,NLD,2021-01-29,299498,297781,1717,,22626,1.7350200582982218,1.7250733159490308,0.009946742349191138,1320.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12959,Netherlands,NLD,2021-01-30,326050,323989,2061,,24589,1.8888382894314326,1.8768987227560203,0.011939566675412308,1435.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12960,Netherlands,NLD,2021-01-31,352602,350197,2405,,26552,2.06,2.04,0.01,1550.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12961,Netherlands,NLD,2021-02-01,384204,378394,5810,,27273,2.2257298762542987,2.1920720002794587,0.03365787597484013,1592.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12962,Netherlands,NLD,2021-02-02,415806,406591,9215,,27995,2.4088032319439545,2.3554198709959078,0.05338336094804678,1634.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12963,Netherlands,NLD,2021-02-03,447408,434788,12620,,28716,2.59187658763361,2.5187677417123564,0.07310884592125343,1676.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12964,Netherlands,NLD,2021-02-04,479010,462985,16025,,29438,2.774949943323265,2.682115612428805,0.09283433089446008,1718.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12965,Netherlands,NLD,2021-02-05,510612,491182,19430,,30159,2.9580232990129205,2.8454634831452537,0.11255981586766672,1760.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12966,Netherlands,NLD,2021-02-06,542214,519379,22835,,30881,3.141096654702576,3.0088113538617027,0.1322853008408734,1802.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12967,Netherlands,NLD,2021-02-07,573817,547576,26241,,31602,3.35,3.2,0.15,1844.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12968,Netherlands,NLD,2021-02-08,605003,568702,36300,,31543,3.5048392320836843,3.294544127821606,0.21028931116810612,1841.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12969,Netherlands,NLD,2021-02-09,636189,589828,46360,,31483,3.685502660681165,3.416929031065061,0.2685678365221323,1837.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12970,Netherlands,NLD,2021-02-10,667375,610954,56420,,31424,3.8661660892786456,3.5393139343085154,0.3268463618761584,1834.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12971,Netherlands,NLD,2021-02-11,698561,632081,66479,,31364,4.046829517876127,3.661704630645942,0.38511909413621287,1830.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12972,Netherlands,NLD,2021-02-12,729747,653207,76539,,31305,4.227492946473608,3.784089533889397,0.44339761949023904,1827.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12973,Netherlands,NLD,2021-02-13,760933,674333,86599,,31246,4.408156375071089,3.9064744371328515,0.501676144844265,1824.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12974,Netherlands,NLD,2021-02-14,792120,695460,96660,,31186,4.62,4.06,0.56,1820.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12975,Netherlands,NLD,2021-02-15,827951,721876,106074,,31850,4.796397946857979,4.181895503823355,0.6144966499406527,1859.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12976,Netherlands,NLD,2021-02-16,863782,748293,115488,,32513,5.003970296953417,4.3349316672704035,0.6690328365890426,1897.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12977,Netherlands,NLD,2021-02-17,899614,774709,124904,,33177,5.211548440142828,4.48796203762348,0.7235806094253755,1936.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12978,Netherlands,NLD,2021-02-18,935445,801126,134318,,33841,5.419120790238266,4.64099820107053,0.7781167960737653,1975.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12979,Netherlands,NLD,2021-02-19,971277,827542,143734,,34504,5.626698933427676,4.794028571423606,0.8326645689100983,2014.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12980,Netherlands,NLD,2021-02-20,1007108,853959,153148,,35168,5.834271283523114,4.947064734870654,0.8872007555584881,2052.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12981,Netherlands,NLD,2021-02-21,1042940,880376,162564,,35831,6.09,5.14,0.95,2091.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12982,Netherlands,NLD,2021-02-22,1092332,913686,178645,,37769,6.327981924156465,5.293068858510805,1.0349072725516895,2204.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12983,Netherlands,NLD,2021-02-23,1141725,946996,194728,,39706,6.61412021469438,5.486036818703908,1.1280776028965007,2317.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12984,Netherlands,NLD,2021-02-24,1191117,980306,210810,,41643,6.900252712138322,5.67900477889701,1.2212421401473403,2430.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12985,Netherlands,NLD,2021-02-25,1240510,1013616,226893,,43581,7.186391002676236,5.871972739090112,1.3144124704921518,2543.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12986,Netherlands,NLD,2021-02-26,1289902,1046926,242975,,45518,7.472523500120178,6.064940699283214,1.4075770077429914,2656.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
12987,Netherlands,NLD,2021-02-27,1339295,1080236,259058,,47455,7.758661790658092,6.257908659476318,1.5007473380878027,2769.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
