,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
13075,New Caledonia,NCL,2021-02-02,1118,0,0,,0,0.39,0.39,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13076,New Caledonia,NCL,2021-02-03,1187,1187,0,,69,0.41624878141152877,0.41624878141152877,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13077,New Caledonia,NCL,2021-02-04,1256,1256,0,,69,0.4404452143663691,0.4404452143663691,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13078,New Caledonia,NCL,2021-02-05,1325,1325,0,,69,0.4646416473212094,0.4646416473212094,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13079,New Caledonia,NCL,2021-02-06,1395,1395,0,,69,0.4891887532174242,0.4891887532174242,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13080,New Caledonia,NCL,2021-02-07,1464,1464,0,,69,0.5133851861722646,0.5133851861722646,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13081,New Caledonia,NCL,2021-02-08,1533,1533,0,,69,0.5375816191271049,0.5375816191271049,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13082,New Caledonia,NCL,2021-02-09,1602,1602,0,,69,0.5617780520819453,0.5617780520819453,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13083,New Caledonia,NCL,2021-02-10,1672,1672,0,,69,0.59,0.59,0.0,242.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13084,New Caledonia,NCL,2021-02-11,1847,1802,44,,84,0.6476929227186972,0.6319126403568448,0.015429609420477896,294.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13085,New Caledonia,NCL,2021-02-12,2023,1932,90,,100,0.7094113604006087,0.6775001227355294,0.03156056472370479,350.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13086,New Caledonia,NCL,2021-02-13,2199,2063,136,,115,0.7711297980825204,0.7234382780555887,0.04769152002693168,403.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13087,New Caledonia,NCL,2021-02-14,2374,2193,180,,130,0.8324975628230575,0.7690257604342734,0.06312112944740958,455.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13088,New Caledonia,NCL,2021-02-15,2550,2323,226,,145,0.8942160005049691,0.8146132428129581,0.07925208475063647,508.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
13089,New Caledonia,NCL,2021-02-16,2726,2454,272,,160,0.95,0.86,0.1,560.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
