,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
13188,New Zealand,NZL,2021-02-19,29,0,0,,0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13189,New Zealand,NZL,2021-02-20,94,94,0,65.0,65,0.0,0.0,0.0,13.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13190,New Zealand,NZL,2021-02-21,162,162,0,68.0,66,0.0,0.0,0.0,14.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13191,New Zealand,NZL,2021-02-22,610,610,0,448.0,194,0.01,0.01,0.0,40.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13192,New Zealand,NZL,2021-02-23,969,969,0,359.0,235,0.02,0.02,0.0,49.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13193,New Zealand,NZL,2021-02-24,1784,1784,0,815.0,351,0.04,0.04,0.0,73.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13194,New Zealand,NZL,2021-02-25,2883,2883,0,1099.0,476,0.06,0.06,0.0,99.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13195,New Zealand,NZL,2021-02-26,4493,4493,0,1610.0,638,0.09,0.09,0.0,132.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13196,New Zealand,NZL,2021-02-27,5835,5835,0,1342.0,820,0.12,0.12,0.0,170.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13197,New Zealand,NZL,2021-02-28,6719,6719,0,884.0,937,0.14,0.14,0.0,194.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13198,New Zealand,NZL,2021-03-01,8131,8131,0,1412.0,1074,0.17,0.17,0.0,223.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13199,New Zealand,NZL,2021-03-02,9622,9622,0,1491.0,1236,0.2,0.2,0.0,256.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13200,New Zealand,NZL,2021-03-03,11605,11605,0,1983.0,1403,0.24,0.24,0.0,291.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13201,New Zealand,NZL,2021-03-04,13237,13237,0,1632.0,1479,0.27,0.27,0.0,307.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13202,New Zealand,NZL,2021-03-05,14515,14515,0,1278.0,1432,0.3,0.3,0.0,297.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13203,New Zealand,NZL,2021-03-06,15118,15117,1,603.0,1326,0.31,0.31,0.0,275.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13204,New Zealand,NZL,2021-03-07,15631,15630,1,513.0,1273,0.32,0.32,0.0,264.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13205,New Zealand,NZL,2021-03-08,16703,16702,1,1072.0,1225,0.35,0.35,0.0,254.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13206,New Zealand,NZL,2021-03-09,18128,18127,1,1425.0,1215,0.38,0.38,0.0,252.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13207,New Zealand,NZL,2021-03-10,19443,19442,1,1315.0,1120,0.4,0.4,0.0,232.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
13208,New Zealand,NZL,2021-03-11,20779,20778,1,1336.0,1077,0.43,0.43,0.0,223.0,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
