,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
13284,Nicaragua,NIC,2021-03-01,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13285,Nicaragua,NIC,2021-03-02,1400,1400,0,,1401,0.021133351447634573,0.021133351447634573,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13286,Nicaragua,NIC,2021-03-03,2801,2801,0,,1401,0.04228179814630317,0.04228179814630317,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13287,Nicaragua,NIC,2021-03-04,4201,4201,0,,1401,0.06341514959393775,0.06341514959393775,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13288,Nicaragua,NIC,2021-03-05,5602,5602,0,,1401,0.08456359629260635,0.08456359629260635,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13289,Nicaragua,NIC,2021-03-06,7002,7002,0,,1401,0.10569694774024091,0.10569694774024091,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13290,Nicaragua,NIC,2021-03-07,8403,8403,0,,1401,0.12684539443890952,0.12684539443890952,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13291,Nicaragua,NIC,2021-03-08,9803,9803,0,,1401,0.14797874588654408,0.14797874588654408,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13292,Nicaragua,NIC,2021-03-09,11204,11204,0,,1401,0.1691271925852127,0.1691271925852127,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13293,Nicaragua,NIC,2021-03-10,12605,12605,0,,1401,0.1902756392838813,0.1902756392838813,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13294,Nicaragua,NIC,2021-03-11,14005,14005,0,,1401,0.21140899073151587,0.21140899073151587,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13295,Nicaragua,NIC,2021-03-12,15406,15406,0,,1401,0.23255743743018448,0.23255743743018448,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13296,Nicaragua,NIC,2021-03-13,16806,16806,0,,1401,0.25369078887781904,0.25369078887781904,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13297,Nicaragua,NIC,2021-03-14,18207,18207,0,,1401,0.27483923557648765,0.27483923557648765,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13298,Nicaragua,NIC,2021-03-15,19607,19607,0,,1401,0.2959725870241222,0.2959725870241222,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13299,Nicaragua,NIC,2021-03-16,21008,21008,0,,1401,0.3171210337227908,0.3171210337227908,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13300,Nicaragua,NIC,2021-03-17,22409,22409,0,,1401,0.33826948042145943,0.33826948042145943,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13301,Nicaragua,NIC,2021-03-18,23809,23809,0,,1401,0.359402831869094,0.359402831869094,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13302,Nicaragua,NIC,2021-03-19,25210,25210,0,,1401,0.3805512785677626,0.3805512785677626,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13303,Nicaragua,NIC,2021-03-20,26610,26610,0,,1401,0.4016846300153971,0.4016846300153971,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13304,Nicaragua,NIC,2021-03-21,28011,28011,0,,1401,0.4228330767140657,0.4228330767140657,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13305,Nicaragua,NIC,2021-03-22,29411,29411,0,,1401,0.44396642816170034,0.44396642816170034,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13306,Nicaragua,NIC,2021-03-23,30812,30812,0,,1401,0.46511487486036895,0.46511487486036895,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13307,Nicaragua,NIC,2021-03-24,32213,32213,0,,1401,0.4862633215590375,0.4862633215590375,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13308,Nicaragua,NIC,2021-03-25,33613,33613,0,,1401,0.507396673006672,0.507396673006672,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13309,Nicaragua,NIC,2021-03-26,35014,35014,0,,1401,0.5285451197053407,0.5285451197053407,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13310,Nicaragua,NIC,2021-03-27,36414,36414,0,,1401,0.5496784711529753,0.5496784711529753,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
13311,Nicaragua,NIC,2021-03-28,37815,37815,0,,1401,0.5708269178516439,0.5708269178516439,0.0,211.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
