,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
13366,Niger,NER,2021-03-28,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13367,Niger,NER,2021-03-29,68,68,0,,68,0.00029948690845830306,0.00029948690845830306,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13368,Niger,NER,2021-03-30,136,136,0,,68,0.0005989738169166061,0.0005989738169166061,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13369,Niger,NER,2021-03-31,204,204,0,,68,0.0008984607253749091,0.0008984607253749091,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13370,Niger,NER,2021-04-01,273,273,0,,68,0.001202351853075246,0.001202351853075246,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13371,Niger,NER,2021-04-02,341,341,0,,68,0.0015018387615335492,0.0015018387615335492,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13372,Niger,NER,2021-04-03,409,409,0,,68,0.0018013256699918523,0.0018013256699918523,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13373,Niger,NER,2021-04-04,478,478,0,,68,0.002105216797692189,0.002105216797692189,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13374,Niger,NER,2021-04-05,546,546,0,,68,0.002404703706150492,0.002404703706150492,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13375,Niger,NER,2021-04-06,614,614,0,,68,0.0027041906146087953,0.0027041906146087953,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13376,Niger,NER,2021-04-07,683,683,0,,68,0.0030080817423091323,0.0030080817423091323,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13377,Niger,NER,2021-04-08,751,751,0,,68,0.0033075686507674355,0.0033075686507674355,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13378,Niger,NER,2021-04-09,819,819,0,,68,0.003607055559225738,0.003607055559225738,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13379,Niger,NER,2021-04-10,887,887,0,,68,0.0039065424676840415,0.0039065424676840415,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13380,Niger,NER,2021-04-11,956,956,0,,68,0.004210433595384378,0.004210433595384378,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13381,Niger,NER,2021-04-12,1024,1024,0,,68,0.004509920503842681,0.004509920503842681,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13382,Niger,NER,2021-04-13,1092,1092,0,,68,0.004809407412300984,0.004809407412300984,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
