,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
13421,Nigeria,NGA,2021-03-04,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13422,Nigeria,NGA,2021-03-05,727,727,0,,727,0.00035238489931340686,0.00035238489931340686,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13423,Nigeria,NGA,2021-03-06,1454,1454,0,,727,0.0007047697986268137,0.0007047697986268137,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13424,Nigeria,NGA,2021-03-07,2181,2181,0,,727,0.0010571546979402206,0.0010571546979402206,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13425,Nigeria,NGA,2021-03-08,2909,2909,0,,727,0.0014100243082568096,0.0014100243082568096,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13426,Nigeria,NGA,2021-03-09,3636,3636,0,,727,0.0017624092075702164,0.0017624092075702164,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13427,Nigeria,NGA,2021-03-10,4363,4363,0,,727,0.002114794106883623,0.002114794106883623,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13428,Nigeria,NGA,2021-03-11,5090,5090,0,,727,0.00246717900619703,0.00246717900619703,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13429,Nigeria,NGA,2021-03-12,5818,5818,0,,727,0.002820048616513619,0.002820048616513619,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13430,Nigeria,NGA,2021-03-13,6545,6545,0,,727,0.003172433515827026,0.003172433515827026,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13431,Nigeria,NGA,2021-03-14,7272,7272,0,,727,0.0035248184151404328,0.0035248184151404328,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
13432,Nigeria,NGA,2021-03-15,8000,8000,0,,727,0.0,0.0,0.0,4.0,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1397288665215348738
