,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
13503,North Macedonia,MKD,2021-02-16,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13504,North Macedonia,MKD,2021-02-17,189,189,0,,189,0.009067070415156687,0.009067070415156687,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13505,North Macedonia,MKD,2021-02-18,378,378,0,,189,0.018134140830313374,0.018134140830313374,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13506,North Macedonia,MKD,2021-02-19,567,567,0,,189,0.027201211245470064,0.027201211245470064,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13507,North Macedonia,MKD,2021-02-20,757,757,0,,189,0.03631625557816726,0.03631625557816726,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13508,North Macedonia,MKD,2021-02-21,946,946,0,,189,0.045383325993323946,0.045383325993323946,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13509,North Macedonia,MKD,2021-02-22,1135,1135,0,,189,0.054450396408480636,0.054450396408480636,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13510,North Macedonia,MKD,2021-02-23,1325,1325,0,,189,0.06356544074117784,0.06356544074117784,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13511,North Macedonia,MKD,2021-02-24,1514,1514,0,,189,0.07263251115633453,0.07263251115633453,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13512,North Macedonia,MKD,2021-02-25,1703,1703,0,,189,0.08169958157149121,0.08169958157149121,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13513,North Macedonia,MKD,2021-02-26,1892,1892,0,,189,0.09076665198664789,0.09076665198664789,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13514,North Macedonia,MKD,2021-02-27,2082,2082,0,,189,0.0998816963193451,0.0998816963193451,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13515,North Macedonia,MKD,2021-02-28,2271,2271,0,,189,0.1089487667345018,0.1089487667345018,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13516,North Macedonia,MKD,2021-03-01,2460,2460,0,,189,0.11801583714965848,0.11801583714965848,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13517,North Macedonia,MKD,2021-03-02,2650,2650,0,,189,0.12713088148235568,0.12713088148235568,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13518,North Macedonia,MKD,2021-03-03,2839,2839,0,,189,0.13619795189751235,0.13619795189751235,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13519,North Macedonia,MKD,2021-03-04,3028,3028,0,,189,0.14526502231266905,0.14526502231266905,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13520,North Macedonia,MKD,2021-03-05,3217,3217,0,,189,0.15433209272782575,0.15433209272782575,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13521,North Macedonia,MKD,2021-03-06,3407,3407,0,,189,0.16344713706052294,0.16344713706052294,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13522,North Macedonia,MKD,2021-03-07,3596,3596,0,,189,0.17251420747567964,0.17251420747567964,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13523,North Macedonia,MKD,2021-03-08,3785,3785,0,,189,0.1815812778908363,0.1815812778908363,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13524,North Macedonia,MKD,2021-03-09,3975,3975,0,,189,0.19069632222353353,0.19069632222353353,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13525,North Macedonia,MKD,2021-03-10,4164,4164,0,,189,0.1997633926386902,0.1997633926386902,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13526,North Macedonia,MKD,2021-03-11,4353,4353,0,,189,0.20883046305384687,0.20883046305384687,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13527,North Macedonia,MKD,2021-03-12,4542,4542,0,,189,0.2178975334690036,0.2178975334690036,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13528,North Macedonia,MKD,2021-03-13,4732,4732,0,,189,0.22701257780170075,0.22701257780170075,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13529,North Macedonia,MKD,2021-03-14,4921,4921,0,,189,0.23607964821685748,0.23607964821685748,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13530,North Macedonia,MKD,2021-03-15,5110,5110,0,,189,0.24514671863201412,0.24514671863201412,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
13531,North Macedonia,MKD,2021-03-16,5300,5300,0,,189,0.25,0.25,0.0,91.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of North Macedonia,https://www.facebook.com/filipce.venko/posts/2693501330956883
