,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14050,Oman,OMN,2020-12-28,1717,0,0,,0,0.03,0.03,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14051,Oman,OMN,2020-12-29,3363,3363,0,1646.0,1646,0.07,0.07,0.0,322.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14052,Oman,OMN,2020-12-30,5043,5043,0,1680.0,1663,0.1,0.1,0.0,326.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14053,Oman,OMN,2020-12-31,6516,6516,0,1473.0,1600,0.13,0.13,0.0,313.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14054,Oman,OMN,2021-01-01,6873,6873,0,,1289,0.13391831586757655,0.13391831586757655,0.0,252.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14055,Oman,OMN,2021-01-02,7231,7231,0,,1103,0.14,0.14,0.0,216.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14056,Oman,OMN,2021-01-03,8826,8826,0,1595.0,1185,0.17,0.17,0.0,232.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14057,Oman,OMN,2021-01-04,10728,10728,0,1902.0,1287,0.21,0.21,0.0,252.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14058,Oman,OMN,2021-01-05,12751,12751,0,2023.0,1341,0.25,0.25,0.0,263.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14059,Oman,OMN,2021-01-06,14005,14005,0,1254.0,1280,0.27,0.27,0.0,251.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14060,Oman,OMN,2021-01-07,14911,14911,0,906.0,1199,0.29,0.29,0.0,235.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14061,Oman,OMN,2021-01-08,14980,14980,0,69.0,1158,0.29,0.29,0.0,227.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14062,Oman,OMN,2021-01-09,15023,15023,0,43.0,1113,0.29,0.29,0.0,218.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14063,Oman,OMN,2021-01-10,15907,15907,0,884.0,1012,0.31,0.31,0.0,198.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14064,Oman,OMN,2021-01-11,18287,18287,0,2380.0,1080,0.36,0.36,0.0,211.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14065,Oman,OMN,2021-01-12,20649,20649,0,2362.0,1128,0.4,0.4,0.0,221.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14066,Oman,OMN,2021-01-13,22749,22749,0,2100.0,1249,0.45,0.45,0.0,245.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14067,Oman,OMN,2021-01-14,24204,24204,0,1455.0,1328,0.47,0.47,0.0,260.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14068,Oman,OMN,2021-01-15,24488,24488,0,,1358,0.4771412365728524,0.4771412365728524,0.0,266.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14069,Oman,OMN,2021-01-16,24773,24773,0,,1393,0.49,0.49,0.0,273.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14070,Oman,OMN,2021-01-17,25446,24773,673,673.0,1363,0.5,0.49,0.01,267.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14071,Oman,OMN,2021-01-18,26758,24773,1985,1312.0,1210,0.52,0.49,0.04,237.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14072,Oman,OMN,2021-01-19,28049,24773,3276,1291.0,1057,0.55,0.49,0.06,207.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14073,Oman,OMN,2021-01-20,29548,24773,4775,1499.0,971,0.58,0.49,0.09,190.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14074,Oman,OMN,2021-01-21,29923,24773,5150,,817,0.5830405595381192,0.48269437494361617,0.10034618459450302,160.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14075,Oman,OMN,2021-01-22,30299,24773,5526,,830,0.5903668052483199,0.48269437494361617,0.10767243030470362,163.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14076,Oman,OMN,2021-01-23,30675,24773,5902,,843,0.6,0.49,0.12,165.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14077,Oman,OMN,2021-01-24,32765,24773,7992,2090.0,1046,0.64,0.49,0.16,205.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
14078,Oman,OMN,2021-01-25,34606,24773,9833,1841.0,1121,0.68,0.49,0.19,220.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
