,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14303,Palestine,PSE,2021-03-30,73964,0,7978,,0,1.61,1.45,0.16,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14304,Palestine,PSE,2021-03-31,87066,78379,8687,5124.0,5124,1.71,1.54,0.17,1004.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14305,Palestine,PSE,2021-04-01,93217,83822,9395,6151.0,5638,1.83,1.64,0.18,1105.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14306,Palestine,PSE,2021-04-02,96801,87013,9788,,4953,1.8969184407961803,1.7051121815786823,0.19180625921749786,971.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14307,Palestine,PSE,2021-04-03,100386,90204,10182,,4611,1.97,1.77,0.2,904.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14308,Palestine,PSE,2021-04-04,102755,91626,11129,2369.0,4163,2.01,1.8,0.22,816.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14309,Palestine,PSE,2021-04-05,111880,100552,11328,9125.0,4990,2.19,1.97,0.22,978.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14310,Palestine,PSE,2021-04-06,121326,109894,11432,9446.0,5626,2.38,2.15,0.22,1103.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14311,Palestine,PSE,2021-04-07,132392,120772,11620,11066.0,6475,2.6,2.37,0.23,1269.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14312,Palestine,PSE,2021-04-08,143142,131394,11748,10750.0,7132,2.81,2.58,0.23,1398.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14313,Palestine,PSE,2021-04-09,152503,140032,12471,9361.0,7957,2.99,2.74,0.24,1560.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14314,Palestine,PSE,2021-04-10,152952,140481,12471,449.0,7509,3.0,2.75,0.24,1472.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14315,Palestine,PSE,2021-04-11,154099,140932,13167,1147.0,7335,3.02,2.76,0.26,1438.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14316,Palestine,PSE,2021-04-12,161660,146986,14674,7561.0,7111,3.17,2.88,0.29,1394.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14317,Palestine,PSE,2021-04-13,168682,151022,17660,7022.0,6765,3.31,2.96,0.35,1326.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14318,Palestine,PSE,2021-04-14,173851,153911,19940,5169.0,5923,3.41,3.02,0.39,1161.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14319,Palestine,PSE,2021-04-15,177865,156446,21419,4014.0,4960,3.49,3.07,0.42,972.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14320,Palestine,PSE,2021-04-16,182867,159754,23113,5002.0,4338,3.58,3.13,0.45,850.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14321,Palestine,PSE,2021-04-17,182867,159754,23113,0.0,4274,3.58,3.13,0.45,838.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14322,Palestine,PSE,2021-04-18,183606,159976,23630,739.0,4215,3.6,3.14,0.46,826.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14323,Palestine,PSE,2021-04-19,192315,166849,25466,8709.0,4379,3.77,3.27,0.5,858.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14324,Palestine,PSE,2021-04-20,197297,167199,30098,,4088,3.8662443323288396,3.2764420448412777,0.5898022874875614,801.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
14325,Palestine,PSE,2021-04-21,202279,167549,34730,,4061,3.97,3.28,0.68,796.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3822951787830671
