,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14355,Panama,PAN,2021-01-20,641,0,0,,0,0.01,0.01,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14356,Panama,PAN,2021-01-21,2728,2728,0,2087.0,2087,0.06,0.06,0.0,484.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14357,Panama,PAN,2021-01-22,5081,5081,0,2353.0,2220,0.12,0.12,0.0,515.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14358,Panama,PAN,2021-01-23,5594,5594,0,513.0,1651,0.13,0.13,0.0,383.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14359,Panama,PAN,2021-01-24,6420,6420,0,826.0,1445,0.15,0.15,0.0,335.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14360,Panama,PAN,2021-01-25,6597,6597,0,177.0,1191,0.15,0.15,0.0,276.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14361,Panama,PAN,2021-01-26,7497,7497,0,900.0,1143,0.17,0.17,0.0,265.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14362,Panama,PAN,2021-01-27,8546,8546,0,1049.0,1129,0.2,0.2,0.0,262.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14363,Panama,PAN,2021-01-28,8723,8723,0,177.0,856,0.2,0.2,0.0,198.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14364,Panama,PAN,2021-01-29,8772,8772,0,49.0,527,0.2,0.2,0.0,122.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14365,Panama,PAN,2021-01-30,9364,9364,0,,539,0.21648364350942087,0.21648364350942087,0.0,125.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14366,Panama,PAN,2021-01-31,9956,9956,0,,505,0.23016992255230612,0.23016992255230612,0.0,117.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14367,Panama,PAN,2021-02-01,10549,10549,0,,565,0.24,0.24,0.0,131.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14368,Panama,PAN,2021-02-02,12013,12013,0,1464.0,645,0.28,0.28,0.0,149.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
14369,Panama,PAN,2021-02-03,12362,12362,0,349.0,545,0.29,0.29,0.0,126.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1396971431704113153
