,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14480,Papua New Guinea,PNG,2021-03-30,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14481,Papua New Guinea,PNG,2021-03-31,14,14,0,,14,0.00014822814428951074,0.00014822814428951074,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14482,Papua New Guinea,PNG,2021-04-01,28,28,0,,14,0.0002964562885790215,0.0002964562885790215,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14483,Papua New Guinea,PNG,2021-04-02,42,42,0,,14,0.0004446844328685322,0.0004446844328685322,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14484,Papua New Guinea,PNG,2021-04-03,56,56,0,,14,0.000592912577158043,0.000592912577158043,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14485,Papua New Guinea,PNG,2021-04-04,70,70,0,,14,0.0007411407214475537,0.0007411407214475537,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14486,Papua New Guinea,PNG,2021-04-05,84,84,0,,14,0.0008893688657370644,0.0008893688657370644,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14487,Papua New Guinea,PNG,2021-04-06,98,98,0,,14,0.0010375970100265752,0.0010375970100265752,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14488,Papua New Guinea,PNG,2021-04-07,112,112,0,,14,0.001185825154316086,0.001185825154316086,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14489,Papua New Guinea,PNG,2021-04-08,126,126,0,,14,0.0013340532986055966,0.0013340532986055966,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14490,Papua New Guinea,PNG,2021-04-09,140,140,0,,14,0.0014822814428951073,0.0014822814428951073,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14491,Papua New Guinea,PNG,2021-04-10,154,154,0,,14,0.0016305095871846182,0.0016305095871846182,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14492,Papua New Guinea,PNG,2021-04-11,168,168,0,,14,0.0017787377314741287,0.0017787377314741287,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14493,Papua New Guinea,PNG,2021-04-12,182,182,0,,14,0.0019269658757636397,0.0019269658757636397,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14494,Papua New Guinea,PNG,2021-04-13,197,197,0,,14,0.0,0.0,0.0,2.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14495,Papua New Guinea,PNG,2021-04-14,323,323,0,,30,0.003419835043250855,0.003419835043250855,0.0,3.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14496,Papua New Guinea,PNG,2021-04-15,449,449,0,,46,0.0047538883418564515,0.0047538883418564515,0.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14497,Papua New Guinea,PNG,2021-04-16,575,575,0,,62,0.006087941640462048,0.006087941640462048,0.0,7.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14498,Papua New Guinea,PNG,2021-04-17,702,702,0,,78,0.007432582663659753,0.007432582663659753,0.0,9.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14499,Papua New Guinea,PNG,2021-04-18,828,828,0,,94,0.008766635962265349,0.008766635962265349,0.0,11.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14500,Papua New Guinea,PNG,2021-04-19,954,954,0,,110,0.010100689260870948,0.010100689260870948,0.0,12.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14501,Papua New Guinea,PNG,2021-04-20,1081,1081,0,,126,0.01,0.01,0.0,14.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
