,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14526,Paraguay,PRY,2021-02-21,0,0,0,,0,0.0,0.0,0.0,0.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14527,Paraguay,PRY,2021-02-22,200,200,0,200.0,200,0.0,0.0,0.0,28.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14528,Paraguay,PRY,2021-02-23,545,545,0,345.0,272,0.01,0.01,0.0,38.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14529,Paraguay,PRY,2021-02-24,1000,1000,0,455.0,333,0.01,0.01,0.0,47.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14530,Paraguay,PRY,2021-02-25,1360,1360,0,360.0,340,0.02,0.02,0.0,48.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14531,Paraguay,PRY,2021-02-26,1520,1520,0,160.0,304,0.02,0.02,0.0,43.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14532,Paraguay,PRY,2021-02-27,1547,1547,0,,258,0.02150313442586492,0.02150313442586492,0.0,36.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14533,Paraguay,PRY,2021-02-28,1575,1575,0,,225,0.021892331429047996,0.021892331429047996,0.0,32.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14534,Paraguay,PRY,2021-03-01,1602,1602,0,,200,0.02226762853926025,0.02226762853926025,0.0,28.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14535,Paraguay,PRY,2021-03-02,1630,1630,0,,155,0.02,0.02,0.0,22.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14536,Paraguay,PRY,2021-03-03,1695,1695,0,65.0,99,0.02,0.02,0.0,14.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14537,Paraguay,PRY,2021-03-04,1725,1725,0,30.0,52,0.02,0.02,0.0,7.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14538,Paraguay,PRY,2021-03-05,1775,1775,0,50.0,36,0.02,0.02,0.0,5.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14539,Paraguay,PRY,2021-03-06,1776,1776,0,1.0,33,0.02,0.02,0.0,5.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14540,Paraguay,PRY,2021-03-07,1826,1826,0,,36,0.025381204564724855,0.025381204564724855,0.0,5.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
14541,Paraguay,PRY,2021-03-08,1876,1876,0,,39,0.03,0.03,0.0,5.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
