,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14723,Philippines,PHL,2021-02-28,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14724,Philippines,PHL,2021-03-01,756,756,0,756.0,756,0.0,0.0,0.0,7.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14725,Philippines,PHL,2021-03-02,2793,2793,0,2037.0,1396,0.0,0.0,0.0,13.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14726,Philippines,PHL,2021-03-03,6396,6396,0,,2132,0.005860801403381541,0.005860801403381541,0.0,19.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14727,Philippines,PHL,2021-03-04,10000,10000,0,,2500,0.01,0.01,0.0,23.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14728,Philippines,PHL,2021-03-05,17569,17569,0,,3514,0.01609887740087716,0.01609887740087716,0.0,32.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14729,Philippines,PHL,2021-03-06,25138,25138,0,,4190,0.02,0.02,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14730,Philippines,PHL,2021-03-07,29266,29266,0,4128.0,4181,0.03,0.03,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14731,Philippines,PHL,2021-03-08,44000,44000,0,14734.0,6178,0.04,0.04,0.0,56.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
14732,Philippines,PHL,2021-03-09,89077,89077,0,45077.0,12326,0.08,0.08,0.0,112.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/HarryRoque/photos/pcb.1494547347406425/1494546590739834
