,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
14958,Portugal,PRT,2020-12-27,4963,0,0,,0,0.05,0.05,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14959,Portugal,PRT,2020-12-28,7754,7754,0,2791.0,2791,0.08,0.08,0.0,274.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14960,Portugal,PRT,2020-12-29,20368,20368,0,12614.0,7702,0.2,0.2,0.0,755.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14961,Portugal,PRT,2020-12-30,30543,30543,0,10175.0,8527,0.3,0.3,0.0,836.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14962,Portugal,PRT,2020-12-31,32749,32749,0,2206.0,6946,0.32,0.32,0.0,681.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14963,Portugal,PRT,2021-01-01,32749,32749,0,0.0,5557,0.32,0.32,0.0,545.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14964,Portugal,PRT,2021-01-02,32750,32750,0,1.0,4631,0.32,0.32,0.0,454.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14965,Portugal,PRT,2021-01-03,32750,32750,0,0.0,3970,0.32,0.32,0.0,389.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14966,Portugal,PRT,2021-01-04,33670,33670,0,920.0,3702,0.33,0.33,0.0,363.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14967,Portugal,PRT,2021-01-05,46433,46433,0,12763.0,3724,0.46,0.46,0.0,365.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14968,Portugal,PRT,2021-01-06,61454,61454,0,15021.0,4416,0.6,0.6,0.0,433.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14969,Portugal,PRT,2021-01-07,71751,71751,0,10297.0,5572,0.7,0.7,0.0,546.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14970,Portugal,PRT,2021-01-08,74254,74254,0,2503.0,5929,0.73,0.73,0.0,581.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14971,Portugal,PRT,2021-01-09,74352,74352,0,98.0,5943,0.73,0.73,0.0,583.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14972,Portugal,PRT,2021-01-10,74392,74392,0,40.0,5949,0.73,0.73,0.0,583.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14973,Portugal,PRT,2021-01-11,75280,75280,0,888.0,5944,0.74,0.74,0.0,583.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14974,Portugal,PRT,2021-01-12,86162,86162,0,10882.0,5676,0.84,0.84,0.0,557.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
14975,Portugal,PRT,2021-01-13,99961,99961,0,13799.0,5501,0.98,0.98,0.0,539.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
