,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15108,Qatar,QAT,2020-12-22,0,0,0,,0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15109,Qatar,QAT,2020-12-23,1754,1754,0,,1351,0.04689399319533795,0.0608823568205942,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15110,Qatar,QAT,2020-12-24,3508,3508,0,,1351,0.0937879863906759,0.1217647136411884,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15111,Qatar,QAT,2020-12-25,5263,5263,0,,1351,0.14071669016572913,0.1826817810414979,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15112,Qatar,QAT,2020-12-26,7017,7017,0,,1351,0.1876106833610671,0.24356413786209208,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15113,Qatar,QAT,2020-12-27,8771,8771,0,,1351,0.23450467655640506,0.30444649468268625,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15114,Qatar,QAT,2020-12-28,10526,10526,0,,1351,0.28143338033145826,0.3653635620829958,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15115,Qatar,QAT,2020-12-29,12280,12280,0,,1351,0.3283273735267962,0.4262459189035899,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15116,Qatar,QAT,2020-12-30,14035,14035,0,,1351,0.3752213667221342,0.4871629863038994,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15117,Qatar,QAT,2020-12-31,15789,15789,0,,1351,0.4221500704971874,0.5480453431244936,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15118,Qatar,QAT,2021-01-01,17543,17543,0,,1351,0.4690440636925254,0.6089276999450878,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15119,Qatar,QAT,2021-01-02,19298,19298,0,,1351,0.5159380568878633,0.6698447673453973,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15120,Qatar,QAT,2021-01-03,21052,21052,0,,1351,0.5628667606629165,0.7307271241659916,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15121,Qatar,QAT,2021-01-04,22807,22807,0,,1351,0.6097607538582545,0.7916441915663011,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15122,Qatar,QAT,2021-01-05,24561,24561,0,,1351,0.6566547470535924,0.8525265483868952,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15123,Qatar,QAT,2021-01-06,26315,26315,0,,1351,0.7035834508286457,0.9134089052074894,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15124,Qatar,QAT,2021-01-07,28070,28070,0,,1351,0.7504774440239836,0.9743259726077989,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15125,Qatar,QAT,2021-01-08,29824,29824,0,,1351,0.7973714372193216,1.0352083294283931,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15126,Qatar,QAT,2021-01-09,31578,31578,0,,1351,0.8443001409943748,1.0960906862489872,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15127,Qatar,QAT,2021-01-10,33333,33333,0,,1351,0.8911941341897128,1.1570077536492969,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15128,Qatar,QAT,2021-01-11,35087,35087,0,,1351,0.938122837964766,1.217890110469891,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15129,Qatar,QAT,2021-01-12,36842,36842,0,,1351,0.985016831160104,1.2788071778702006,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15130,Qatar,QAT,2021-01-13,38596,38596,0,,1351,1.0319108243554418,1.3396895346907947,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15131,Qatar,QAT,2021-01-14,40350,40350,0,,1351,1.078839528130495,1.400571891511389,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15132,Qatar,QAT,2021-01-15,42105,42105,0,,1351,1.125733521325833,1.4614889589116984,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15133,Qatar,QAT,2021-01-16,43859,43859,0,,1351,1.172627514521171,1.5223713157322925,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15134,Qatar,QAT,2021-01-17,45614,45614,0,,1351,1.2195562182962243,1.5832883831326021,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15135,Qatar,QAT,2021-01-18,47368,47368,0,,1351,1.2664502114915621,1.6441707399531964,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15136,Qatar,QAT,2021-01-19,49122,49122,0,,1351,1.3133442046869002,1.7050530967737905,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15137,Qatar,QAT,2021-01-20,50877,50877,0,,1351,1.3602729084619534,1.7659701641741001,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
15138,Qatar,QAT,2021-01-21,52631,52631,0,,1351,1.4071669016572914,1.8268525209946942,0.0,469.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
