,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15263,Romania,ROU,2020-12-27,965,0,0,,0,0.01,0.01,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15264,Romania,ROU,2020-12-28,2066,2066,0,1101.0,1101,0.01,0.01,0.0,57.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15265,Romania,ROU,2020-12-29,2778,2778,0,712.0,906,0.01,0.01,0.0,47.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15266,Romania,ROU,2020-12-30,5666,5666,0,2888.0,1567,0.03,0.03,0.0,81.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15267,Romania,ROU,2020-12-31,10289,10289,0,4623.0,2331,0.05,0.05,0.0,121.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15268,Romania,ROU,2021-01-01,11656,11656,0,1367.0,2138,0.06,0.06,0.0,111.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15269,Romania,ROU,2021-01-02,13242,13242,0,1586.0,2046,0.07,0.07,0.0,106.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15270,Romania,ROU,2021-01-03,13596,13596,0,354.0,1804,0.07,0.07,0.0,94.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15271,Romania,ROU,2021-01-04,25508,25508,0,11912.0,3349,0.13,0.13,0.0,174.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15272,Romania,ROU,2021-01-05,41609,41609,0,16101.0,5547,0.22,0.22,0.0,288.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15273,Romania,ROU,2021-01-06,58554,58554,0,16945.0,7555,0.3,0.3,0.0,393.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15274,Romania,ROU,2021-01-07,76400,76400,0,17846.0,9444,0.4,0.4,0.0,491.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
15275,Romania,ROU,2021-01-08,92706,92706,0,16306.0,11579,0.48,0.48,0.0,602.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
