,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15413,Russia,RUS,2020-12-15,28500,0,0,,0,0.02,0.02,0.0,0.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15414,Russia,RUS,2020-12-16,31857,31857,0,,3357,0.0218596696218037,0.0218596696218037,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15415,Russia,RUS,2020-12-17,35214,35214,0,,3357,0.024163179397375632,0.024163179397375632,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15416,Russia,RUS,2020-12-18,38571,38571,0,,3357,0.02646668917294756,0.02646668917294756,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15417,Russia,RUS,2020-12-19,41928,41928,0,,3357,0.028770198948519492,0.028770198948519492,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15418,Russia,RUS,2020-12-20,45285,45285,0,,3357,0.031073708724091424,0.031073708724091424,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15419,Russia,RUS,2020-12-21,48642,48642,0,,3357,0.03337721849966335,0.03337721849966335,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15420,Russia,RUS,2020-12-22,52000,52000,0,,3357,0.04,0.04,0.0,23.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15421,Russia,RUS,2020-12-23,120000,120000,0,,12592,0.08234172566834429,0.08234172566834429,0.0,86.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15422,Russia,RUS,2020-12-24,188000,188000,0,,21827,0.12900203688040604,0.12900203688040604,0.0,150.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15423,Russia,RUS,2020-12-25,256000,256000,0,,31061,0.1756623480924678,0.1756623480924678,0.0,213.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
15424,Russia,RUS,2020-12-26,324000,324000,0,,40296,0.22232265930452957,0.22232265930452957,0.0,276.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
