,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15575,Rwanda,RWA,2021-02-15,0,0,0,,0,0.0,0.0,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15576,Rwanda,RWA,2021-02-16,4169,4169,0,,4170,0.0320749055602145,0.0320749055602145,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15577,Rwanda,RWA,2021-02-17,8339,8339,0,,4170,0.06415750478930889,0.06415750478930889,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15578,Rwanda,RWA,2021-02-18,12509,12509,0,,4170,0.09624010401840326,0.09624010401840326,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15579,Rwanda,RWA,2021-02-19,16679,16679,0,,4170,0.12832270324749764,0.12832270324749764,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15580,Rwanda,RWA,2021-02-20,20848,20848,0,,4170,0.16039760880771214,0.16039760880771214,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15581,Rwanda,RWA,2021-02-21,25018,25018,0,,4170,0.19248020803680652,0.19248020803680652,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15582,Rwanda,RWA,2021-02-22,29188,29188,0,,4170,0.2245628072659009,0.2245628072659009,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15583,Rwanda,RWA,2021-02-23,33358,33358,0,,4170,0.2566454064949953,0.2566454064949953,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15584,Rwanda,RWA,2021-02-24,37528,37528,0,,4170,0.28872800572408963,0.28872800572408963,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15585,Rwanda,RWA,2021-02-25,41697,41697,0,,4170,0.32080291128430416,0.32080291128430416,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15586,Rwanda,RWA,2021-02-26,45867,45867,0,,4170,0.3528855105133985,0.3528855105133985,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15587,Rwanda,RWA,2021-02-27,50037,50037,0,,4170,0.3849681097424929,0.3849681097424929,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
15588,Rwanda,RWA,2021-02-28,54207,54207,0,,4170,0.4170507089715873,0.4170507089715873,0.0,322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/region/afro/country/rw
