,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15658,Saint Helena,SHN,2021-02-03,107,0,0,,0,1.76,1.76,0.0,0.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15659,Saint Helena,SHN,2021-02-04,182,182,0,,75,3.033333333333333,3.033333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15660,Saint Helena,SHN,2021-02-05,257,257,0,,75,4.283333333333333,4.283333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15661,Saint Helena,SHN,2021-02-06,332,332,0,,75,5.533333333333333,5.533333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15662,Saint Helena,SHN,2021-02-07,407,407,0,,75,6.783333333333333,6.783333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15663,Saint Helena,SHN,2021-02-08,482,482,0,,75,8.033333333333333,8.033333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15664,Saint Helena,SHN,2021-02-09,557,557,0,,75,9.283333333333333,9.283333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15665,Saint Helena,SHN,2021-02-10,632,632,0,,75,10.533333333333333,10.533333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15666,Saint Helena,SHN,2021-02-11,707,707,0,,75,11.783333333333333,11.783333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15667,Saint Helena,SHN,2021-02-12,782,782,0,,75,13.033333333333333,13.033333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15668,Saint Helena,SHN,2021-02-13,857,857,0,,75,14.283333333333333,14.283333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15669,Saint Helena,SHN,2021-02-14,932,932,0,,75,15.533333333333331,15.533333333333331,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15670,Saint Helena,SHN,2021-02-15,1007,1007,0,,75,16.783333333333335,16.783333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15671,Saint Helena,SHN,2021-02-16,1082,1082,0,,75,18.033333333333335,18.033333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15672,Saint Helena,SHN,2021-02-17,1157,1157,0,,75,19.28333333333333,19.28333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15673,Saint Helena,SHN,2021-02-18,1232,1232,0,,75,20.533333333333335,20.533333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15674,Saint Helena,SHN,2021-02-19,1307,1307,0,,75,21.78333333333333,21.78333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15675,Saint Helena,SHN,2021-02-20,1382,1382,0,,75,23.033333333333335,23.033333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15676,Saint Helena,SHN,2021-02-21,1457,1457,0,,75,24.283333333333335,24.283333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15677,Saint Helena,SHN,2021-02-22,1532,1532,0,,75,25.533333333333335,25.533333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15678,Saint Helena,SHN,2021-02-23,1607,1607,0,,75,26.78333333333333,26.78333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15679,Saint Helena,SHN,2021-02-24,1682,1682,0,,75,28.03333333333333,28.03333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15680,Saint Helena,SHN,2021-02-25,1757,1757,0,,75,29.283333333333335,29.283333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15681,Saint Helena,SHN,2021-02-26,1832,1832,0,,75,30.533333333333335,30.533333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15682,Saint Helena,SHN,2021-02-27,1907,1907,0,,75,31.783333333333335,31.783333333333335,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15683,Saint Helena,SHN,2021-02-28,1982,1982,0,,75,33.03333333333333,33.03333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15684,Saint Helena,SHN,2021-03-01,2057,2057,0,,75,34.28333333333333,34.28333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15685,Saint Helena,SHN,2021-03-02,2132,2132,0,,75,35.53333333333333,35.53333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15686,Saint Helena,SHN,2021-03-03,2207,2207,0,,75,36.78333333333333,36.78333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15687,Saint Helena,SHN,2021-03-04,2282,2282,0,,75,38.03333333333334,38.03333333333334,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15688,Saint Helena,SHN,2021-03-05,2357,2357,0,,75,39.28333333333333,39.28333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15689,Saint Helena,SHN,2021-03-06,2432,2432,0,,75,40.53333333333333,40.53333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15690,Saint Helena,SHN,2021-03-07,2507,2507,0,,75,41.78333333333333,41.78333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15691,Saint Helena,SHN,2021-03-08,2582,2582,0,,75,43.03333333333333,43.03333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15692,Saint Helena,SHN,2021-03-09,2657,2657,0,,75,44.28333333333334,44.28333333333334,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
15693,Saint Helena,SHN,2021-03-10,2732,2732,0,,75,45.53333333333333,45.53333333333333,0.0,12354.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
