,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15750,Saint Kitts and Nevis,KNA,2021-02-22,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15751,Saint Kitts and Nevis,KNA,2021-02-23,313,313,0,,314,0.5894538606403014,0.5894538606403014,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15752,Saint Kitts and Nevis,KNA,2021-02-24,627,627,0,,314,1.1807909604519775,1.1807909604519775,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15753,Saint Kitts and Nevis,KNA,2021-02-25,941,941,0,,314,1.7721280602636533,1.7721280602636533,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15754,Saint Kitts and Nevis,KNA,2021-02-26,1255,1255,0,,314,2.3634651600753296,2.3634651600753296,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15755,Saint Kitts and Nevis,KNA,2021-02-27,1568,1568,0,,314,2.952919020715631,2.952919020715631,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15756,Saint Kitts and Nevis,KNA,2021-02-28,1882,1882,0,,314,3.5442561205273067,3.5442561205273067,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15757,Saint Kitts and Nevis,KNA,2021-03-01,2196,2196,0,,314,4.135593220338983,4.135593220338983,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15758,Saint Kitts and Nevis,KNA,2021-03-02,2510,2510,0,,314,4.726930320150659,4.726930320150659,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15759,Saint Kitts and Nevis,KNA,2021-03-03,2823,2823,0,,314,5.31638418079096,5.31638418079096,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15760,Saint Kitts and Nevis,KNA,2021-03-04,3137,3137,0,,314,5.907721280602637,5.907721280602637,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15761,Saint Kitts and Nevis,KNA,2021-03-05,3451,3451,0,,314,6.499058380414313,6.499058380414313,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15762,Saint Kitts and Nevis,KNA,2021-03-06,3765,3765,0,,314,7.090395480225989,7.090395480225989,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15763,Saint Kitts and Nevis,KNA,2021-03-07,4079,4079,0,,314,7.681732580037664,7.681732580037664,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15764,Saint Kitts and Nevis,KNA,2021-03-08,4392,4392,0,,314,8.271186440677965,8.271186440677965,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15765,Saint Kitts and Nevis,KNA,2021-03-09,4706,4706,0,,314,8.862523540489642,8.862523540489642,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15766,Saint Kitts and Nevis,KNA,2021-03-10,5020,5020,0,,314,9.453860640301318,9.453860640301318,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
15767,Saint Kitts and Nevis,KNA,2021-03-11,5334,5334,0,,314,10.045197740112995,10.045197740112995,0.0,5903.0,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/919931132124060
