,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15840,Saint Lucia,LCA,2021-02-16,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15841,Saint Lucia,LCA,2021-02-17,130,130,0,,131,0.07080610021786493,0.07080610021786493,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15842,Saint Lucia,LCA,2021-02-18,261,261,0,,131,0.14215686274509803,0.14215686274509803,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15843,Saint Lucia,LCA,2021-02-19,392,392,0,,131,0.21350762527233116,0.21350762527233116,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15844,Saint Lucia,LCA,2021-02-20,523,523,0,,131,0.2848583877995643,0.2848583877995643,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15845,Saint Lucia,LCA,2021-02-21,654,654,0,,131,0.3562091503267974,0.3562091503267974,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15846,Saint Lucia,LCA,2021-02-22,785,785,0,,131,0.4275599128540305,0.4275599128540305,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15847,Saint Lucia,LCA,2021-02-23,916,916,0,,131,0.49891067538126366,0.49891067538126366,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15848,Saint Lucia,LCA,2021-02-24,1047,1047,0,,131,0.5702614379084967,0.5702614379084967,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15849,Saint Lucia,LCA,2021-02-25,1177,1177,0,,131,0.6410675381263616,0.6410675381263616,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15850,Saint Lucia,LCA,2021-02-26,1308,1308,0,,131,0.7124183006535948,0.7124183006535948,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15851,Saint Lucia,LCA,2021-02-27,1439,1439,0,,131,0.7837690631808278,0.7837690631808278,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15852,Saint Lucia,LCA,2021-02-28,1570,1570,0,,131,0.855119825708061,0.855119825708061,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
15853,Saint Lucia,LCA,2021-03-01,1701,1701,0,,131,0.926470588235294,0.926470588235294,0.0,713.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
