,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
15939,Saint Vincent and the Grenadines,VCT,2021-03-17,8952,0,0,,0,8.07,8.07,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15940,Saint Vincent and the Grenadines,VCT,2021-03-18,9167,9167,0,,216,8.266005410279531,8.266005410279531,0.0,1947.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15941,Saint Vincent and the Grenadines,VCT,2021-03-19,9383,9383,0,,216,8.46,8.46,0.0,1947.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15942,Saint Vincent and the Grenadines,VCT,2021-03-20,9545,9545,0,,198,8.606853020739406,8.606853020739406,0.0,1785.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15943,Saint Vincent and the Grenadines,VCT,2021-03-21,9707,9707,0,,189,8.75293056807935,8.75293056807935,0.0,1704.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15944,Saint Vincent and the Grenadines,VCT,2021-03-22,9869,9869,0,,184,8.899008115419296,8.899008115419296,0.0,1658.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15945,Saint Vincent and the Grenadines,VCT,2021-03-23,10032,10032,0,,180,9.045987376014427,9.045987376014427,0.0,1622.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15946,Saint Vincent and the Grenadines,VCT,2021-03-24,10194,10194,0,,177,9.192064923354373,9.192064923354373,0.0,1595.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15947,Saint Vincent and the Grenadines,VCT,2021-03-25,10356,10356,0,,170,9.338142470694319,9.338142470694319,0.0,1532.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15948,Saint Vincent and the Grenadines,VCT,2021-03-26,10519,10519,0,,162,9.48,9.48,0.0,1460.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15949,Saint Vincent and the Grenadines,VCT,2021-03-27,10626,10626,0,,154,9.581605049594229,9.581605049594229,0.0,1388.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15950,Saint Vincent and the Grenadines,VCT,2021-03-28,10733,10733,0,,146,9.678088367899008,9.678088367899008,0.0,1316.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
15951,Saint Vincent and the Grenadines,VCT,2021-03-29,10840,10840,0,,139,9.774571686203787,9.774571686203787,0.0,1253.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4508917015835353
