,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16003,Samoa,WSM,2021-05-04,7411,0,0,,0,3.74,3.74,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16004,Samoa,WSM,2021-05-05,8059,8059,0,,648,4.064044377206253,4.064044377206253,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16005,Samoa,WSM,2021-05-06,8707,8707,0,,648,4.390821986888552,4.390821986888552,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16006,Samoa,WSM,2021-05-07,9356,9356,0,,648,4.718103883005547,4.718103883005547,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16007,Samoa,WSM,2021-05-08,10004,10004,0,,648,5.044881492687846,5.044881492687846,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16008,Samoa,WSM,2021-05-09,10653,10653,0,,648,5.372163388804841,5.372163388804841,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16009,Samoa,WSM,2021-05-10,11301,11301,0,,648,5.69894099848714,5.69894099848714,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16010,Samoa,WSM,2021-05-11,11950,11950,0,,648,6.02,6.02,0.0,3266.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16011,Samoa,WSM,2021-05-12,13179,13179,0,,731,6.645990922844175,6.645990922844175,0.0,3684.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16012,Samoa,WSM,2021-05-13,14408,14408,0,,814,7.265758951084216,7.265758951084216,0.0,4103.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16013,Samoa,WSM,2021-05-14,15637,15637,0,,897,7.885526979324256,7.885526979324256,0.0,4521.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16014,Samoa,WSM,2021-05-15,16866,16866,0,,980,8.505295007564296,8.505295007564296,0.0,4939.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16015,Samoa,WSM,2021-05-16,18095,18095,0,,1063,9.125063035804338,9.125063035804338,0.0,5358.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16016,Samoa,WSM,2021-05-17,19324,19324,0,,1146,9.744831064044378,9.744831064044378,0.0,5776.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16017,Samoa,WSM,2021-05-18,20553,20553,0,,1229,10.36,10.36,0.0,6194.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16018,Samoa,WSM,2021-05-19,21680,21680,0,,1214,10.932929904185578,10.932929904185578,0.0,6119.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16019,Samoa,WSM,2021-05-20,22807,22807,0,,1200,11.501260716086739,11.501260716086739,0.0,6048.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16020,Samoa,WSM,2021-05-21,23934,23934,0,,1185,12.069591527987896,12.069591527987896,0.0,5972.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16021,Samoa,WSM,2021-05-22,25061,25061,0,,1171,12.637922339889057,12.637922339889057,0.0,5902.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16022,Samoa,WSM,2021-05-23,26188,26188,0,,1156,13.206253151790218,13.206253151790218,0.0,5826.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16023,Samoa,WSM,2021-05-24,27315,27315,0,,1142,13.774583963691377,13.774583963691377,0.0,5756.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
16024,Samoa,WSM,2021-05-25,28443,28443,0,,1127,14.34,14.34,0.0,5680.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
