,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16113,Sao Tome and Principe,STP,2021-03-15,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16114,Sao Tome and Principe,STP,2021-03-16,566,566,0,,566,0.2584474885844749,0.2584474885844749,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16115,Sao Tome and Principe,STP,2021-03-17,1132,1132,0,,566,0.5168949771689498,0.5168949771689498,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16116,Sao Tome and Principe,STP,2021-03-18,1699,1699,0,,566,0.7757990867579908,0.7757990867579908,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16117,Sao Tome and Principe,STP,2021-03-19,2265,2265,0,,566,1.034246575342466,1.034246575342466,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16118,Sao Tome and Principe,STP,2021-03-20,2832,2832,0,,566,1.2931506849315069,1.2931506849315069,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16119,Sao Tome and Principe,STP,2021-03-21,3398,3398,0,,566,1.5515981735159816,1.5515981735159816,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16120,Sao Tome and Principe,STP,2021-03-22,3965,3965,0,,566,1.81,1.81,0.0,2583.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16121,Sao Tome and Principe,STP,2021-03-23,4787,4787,0,,603,2.1858447488584476,2.1858447488584476,0.0,2751.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16122,Sao Tome and Principe,STP,2021-03-24,5610,5610,0,,640,2.5616438356164384,2.5616438356164384,0.0,2920.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16123,Sao Tome and Principe,STP,2021-03-25,6433,6433,0,,676,2.937442922374429,2.937442922374429,0.0,3084.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16124,Sao Tome and Principe,STP,2021-03-26,7255,7255,0,,713,3.312785388127854,3.312785388127854,0.0,3253.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16125,Sao Tome and Principe,STP,2021-03-27,8078,8078,0,,749,3.688584474885845,3.688584474885845,0.0,3418.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16126,Sao Tome and Principe,STP,2021-03-28,8901,8901,0,,786,4.064383561643836,4.064383561643836,0.0,3586.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16127,Sao Tome and Principe,STP,2021-03-29,9724,9724,0,,823,4.44,4.44,0.0,3755.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16128,Sao Tome and Principe,STP,2021-03-30,9777,9777,0,,713,4.464383561643836,4.464383561643836,0.0,3253.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16129,Sao Tome and Principe,STP,2021-03-31,9830,9830,0,,603,4.488584474885845,4.488584474885845,0.0,2751.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16130,Sao Tome and Principe,STP,2021-04-01,9883,9883,0,,493,4.5127853881278535,4.5127853881278535,0.0,2249.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16131,Sao Tome and Principe,STP,2021-04-02,9936,9936,0,,383,4.536986301369863,4.536986301369863,0.0,1748.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16132,Sao Tome and Principe,STP,2021-04-03,9989,9989,0,,273,4.561187214611872,4.561187214611872,0.0,1246.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16133,Sao Tome and Principe,STP,2021-04-04,10042,10042,0,,163,4.585388127853881,4.585388127853881,0.0,744.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16134,Sao Tome and Principe,STP,2021-04-05,10095,10095,0,,53,4.609589041095891,4.609589041095891,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16135,Sao Tome and Principe,STP,2021-04-06,10148,10148,0,,53,4.6337899543378995,4.6337899543378995,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16136,Sao Tome and Principe,STP,2021-04-07,10201,10201,0,,53,4.657990867579908,4.657990867579908,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16137,Sao Tome and Principe,STP,2021-04-08,10254,10254,0,,53,4.682191780821918,4.682191780821918,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16138,Sao Tome and Principe,STP,2021-04-09,10307,10307,0,,53,4.7063926940639265,4.7063926940639265,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16139,Sao Tome and Principe,STP,2021-04-10,10360,10360,0,,53,4.730593607305936,4.730593607305936,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16140,Sao Tome and Principe,STP,2021-04-11,10413,10413,0,,53,4.754794520547946,4.754794520547946,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16141,Sao Tome and Principe,STP,2021-04-12,10466,10466,0,,53,4.778995433789954,4.778995433789954,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16142,Sao Tome and Principe,STP,2021-04-13,10519,10519,0,,53,4.803196347031964,4.803196347031964,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16143,Sao Tome and Principe,STP,2021-04-14,10572,10572,0,,53,4.8273972602739725,4.8273972602739725,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16144,Sao Tome and Principe,STP,2021-04-15,10625,10625,0,,53,4.851598173515981,4.851598173515981,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16145,Sao Tome and Principe,STP,2021-04-16,10678,10678,0,,53,4.875799086757991,4.875799086757991,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16146,Sao Tome and Principe,STP,2021-04-17,10731,10731,0,,53,4.9,4.9,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
16147,Sao Tome and Principe,STP,2021-04-18,10784,10784,0,,53,4.924200913242009,4.924200913242009,0.0,242.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
