,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16178,Saudi Arabia,SAU,2021-01-06,0,0,0,,0,0.4,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16179,Saudi Arabia,SAU,2021-01-07,151354,0,151354,,13492,0.43476537365566686,0.0,0.43476537365566686,388.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16180,Saudi Arabia,SAU,2021-01-08,164846,0,164846,,13492,0.47352123356926185,0.0,0.47352123356926185,388.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16181,Saudi Arabia,SAU,2021-01-09,178338,0,178338,,13492,0.51,0.0,0.5122770934828569,388.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16182,Saudi Arabia,SAU,2021-01-10,195079,0,195079,,14304,0.5603657275484879,0.0,0.5603657275484879,411.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16183,Saudi Arabia,SAU,2021-01-11,211821,0,211821,,14792,0.6084572341207832,0.0,0.6084572341207832,425.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16184,Saudi Arabia,SAU,2021-01-12,228563,0,228563,,15117,0.6565487406930784,0.0,0.6565487406930784,434.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16185,Saudi Arabia,SAU,2021-01-13,245304,0,245304,,15349,0.7046373747587095,0.0,0.7046373747587095,441.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16186,Saudi Arabia,SAU,2021-01-14,262046,0,262046,,15813,0.7527288813310047,0.0,0.7527288813310047,454.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16187,Saudi Arabia,SAU,2021-01-15,278788,0,278788,,16277,0.8008203879032999,0.0,0.8008203879032999,468.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16188,Saudi Arabia,SAU,2021-01-16,295530,0,295530,,16742,0.85,0.0,0.8489118944755952,481.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16189,Saudi Arabia,SAU,2021-01-17,309260,0,309260,,16312,0.8883514109752735,0.0,0.8883514109752735,469.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
16190,Saudi Arabia,SAU,2021-01-18,322990,0,322990,,15881,0.9277909274749517,0.0,0.9277909274749517,456.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
